CMDLINE /Users/muyeedahmed/opt/anaconda3/envs/sklearn-env/bin/python OCSVM_Sub.py
MEM 0.804688 1678009618.0975
MEM 27.312500 1678009618.2030
MEM 41.992188 1678009618.3081
MEM 62.406250 1678009618.4133
MEM 79.886719 1678009618.5184
MEM 96.867188 1678009618.6228
MEM 109.554688 1678009618.7280
MEM 119.953125 1678009618.8331
MEM 133.417969 1678009618.9383
MEM 171.066406 1678009619.0435
MEM 171.328125 1678009619.1485
MEM 171.546875 1678009619.2536
MEM 171.921875 1678009619.3586
MEM 172.839844 1678009619.4636
MEM 173.203125 1678009619.5687
MEM 173.542969 1678009619.6739
MEM 173.707031 1678009619.7789
MEM 173.855469 1678009619.8840
MEM 174.019531 1678009619.9890
MEM 181.816406 1678009620.0941
MEM 181.945312 1678009620.1992
MEM 183.570312 1678009620.3042
MEM 186.902344 1678009620.4093
MEM 193.519531 1678009620.5144
MEM 200.089844 1678009620.6194
MEM 206.640625 1678009620.7245
MEM 213.265625 1678009620.8295
MEM 219.835938 1678009620.9346
MEM 226.386719 1678009621.0396
MEM 232.988281 1678009621.1447
MEM 239.554688 1678009621.2497
MEM 246.097656 1678009621.3548
MEM 252.703125 1678009621.4598
MEM 259.277344 1678009621.5648
MEM 265.734375 1678009621.6687
MEM 272.347656 1678009621.7738
MEM 278.921875 1678009621.8789
MEM 285.457031 1678009621.9839
MEM 292.070312 1678009622.0890
MEM 298.390625 1678009622.1941
MEM 304.925781 1678009622.2992
MEM 311.527344 1678009622.4043
MEM 318.117188 1678009622.5093
MEM 324.359375 1678009622.6099
MEM 330.957031 1678009622.7150
MEM 337.546875 1678009622.8200
MEM 344.085938 1678009622.9251
MEM 350.679688 1678009623.0301
MEM 357.242188 1678009623.1351
MEM 363.769531 1678009623.2402
MEM 370.375000 1678009623.3452
MEM 376.941406 1678009623.4504
MEM 383.183594 1678009623.5554
MEM 389.386719 1678009623.6606
MEM 395.617188 1678009623.7657
MEM 401.828125 1678009623.8708
MEM 401.972656 1678009623.9759
MEM 401.972656 1678009624.0810
MEM 401.972656 1678009624.1861
MEM 401.972656 1678009624.2913
MEM 402.003906 1678009624.3965
MEM 402.003906 1678009624.5016
MEM 403.003906 1678009624.6044
MEM 409.136719 1678009624.7095
MEM 415.199219 1678009624.8145
MEM 418.441406 1678009624.9196
MEM 418.441406 1678009625.0246
MEM 420.316406 1678009625.1297
MEM 426.527344 1678009625.2347
MEM 431.136719 1678009625.3398
MEM 431.136719 1678009625.4449
MEM 431.136719 1678009625.5501
MEM 435.730469 1678009625.6552
MEM 441.750000 1678009625.7603
MEM 447.433594 1678009625.8653
MEM 451.847656 1678009625.9704
MEM 451.847656 1678009626.0754
MEM 451.847656 1678009626.1806
MEM 378.000000 1678009626.2857
MEM 378.000000 1678009626.3908
MEM 378.000000 1678009626.4959
MEM 378.000000 1678009626.6009
MEM 378.000000 1678009626.7060
MEM 378.000000 1678009626.8110
MEM 378.000000 1678009626.9161
MEM 378.000000 1678009627.0211
MEM 378.000000 1678009627.1263
MEM 378.000000 1678009627.2314
MEM 378.000000 1678009627.3365
MEM 378.000000 1678009627.4415
MEM 378.000000 1678009627.5466
MEM 378.000000 1678009627.6516
MEM 378.000000 1678009627.7566
MEM 378.000000 1678009627.8617
MEM 378.000000 1678009627.9667
MEM 378.000000 1678009628.0717
MEM 378.000000 1678009628.1768
MEM 378.000000 1678009628.2818
MEM 378.000000 1678009628.3869
MEM 378.000000 1678009628.4880
MEM 378.000000 1678009628.5931
MEM 378.000000 1678009628.6981
MEM 378.000000 1678009628.8032
MEM 378.000000 1678009628.9083
MEM 378.000000 1678009629.0133
MEM 378.000000 1678009629.1183
MEM 378.000000 1678009629.2234
MEM 378.000000 1678009629.3284
MEM 378.000000 1678009629.4335
MEM 378.000000 1678009629.5385
MEM 378.000000 1678009629.6436
MEM 378.003906 1678009629.7487
MEM 378.003906 1678009629.8537
MEM 378.003906 1678009629.9588
MEM 378.003906 1678009630.0638
MEM 378.003906 1678009630.1688
MEM 378.003906 1678009630.2739
MEM 378.003906 1678009630.3790
MEM 378.003906 1678009630.4840
MEM 378.003906 1678009630.5891
MEM 378.003906 1678009630.6941
MEM 378.003906 1678009630.7992
MEM 378.003906 1678009630.9043
MEM 378.003906 1678009631.0095
MEM 378.003906 1678009631.1145
MEM 378.003906 1678009631.2196
MEM 378.003906 1678009631.3246
MEM 378.003906 1678009631.4297
MEM 378.003906 1678009631.5347
MEM 378.003906 1678009631.6397
MEM 378.003906 1678009631.7448
MEM 378.003906 1678009631.8498
MEM 378.003906 1678009631.9545
MEM 378.003906 1678009632.0597
MEM 378.003906 1678009632.1649
MEM 378.003906 1678009632.2700
MEM 378.003906 1678009632.3750
MEM 378.007812 1678009632.4801
MEM 378.007812 1678009632.5851
