Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
20_newsgroups.drift_OpenML,399940,1001,1686280195,1686280226,1,31,7378.9253905000005,18777.30859,7455.740625,18777
BNG(2dplanes)_OpenML,177147,10,1686281761,1686281768,1,7,17373.89727,36226.55469,17391.23906,36226
BNG(adult)_OpenML,1000000,14,1686574693,1686574887,1,194,687.43359375,8249.31640625,788.350390625,8254
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686579695,1686579889,1,194,3294.96171875,10912.371875,6134.50859375,14125
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,1686580102,1686580295,1,193,1014.19140625,8838.8095703125,1080.0625,8867
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,1686579900,1686580093,1,193,1100.654296875,8877.53828125,1308.826953125,9041
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686580921,1686581117,1,196,3915.43671875,11502.13515625,7056.335546875,15100
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686581340,1686581537,1,197,3587.70859375,11112.66796875,6974.05390625,14928
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686581127,1686581330,1,203,9451.6125,17515.5078125,20669.697265625,31336
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,1686580304,1686580502,1,198,3263.686328125,10883.2390625,5909.5640625,13853
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686580512,1686580708,1,196,3556.4183593750004,10986.804296875,6198.11171875,13786
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686276713,1686276984,1,271,34437.72891,47284.86758,67331.27813,85513
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686581546,1686581742,1,196,2335.3296875,9887.728125,3704.48125,11270
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686582783,1686582983,1,200,8708.6578125,17318.71015625,17493.232421875,28468
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686583199,1686583396,1,197,2379.41484375,9957.8640625,3749.23203125,11209
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686582994,1686583190,1,196,3459.7300781249996,11300.384765625,6080.29296875,14556
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,1686582577,1686582772,1,195,1774.7109375,9457.90078125,2478.97734375,10300
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686582368,1686582567,1,199,2409.4453125,9975.373046875,3729.19921875,11335
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686471641,1686471955,1,314,53920.107035,69598.498435,106477.9141,130133
BNG(anneal.ORIG)_OpenML,1000000,38,1686531130,1686531376,1,246,14536.15234,24298.43203,26105.53984,37648
BNG(anneal)_OpenML,1000000,38,1686530871,1686531126,1,255,11008.91133,20962.63359,18611.77969,30095
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,1686587040,1686587236,1,196,2173.5921875,9893.195703125,3213.86640625,10920
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,1686587246,1686587441,1,195,1379.746875,9205.9921875,1520.9765625,9237
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,1686587654,1686587854,1,200,7397.12421875,15777.869921875,14138.49921875,23819
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,1686588073,1686588270,1,197,1515.58984375,9319.52578125,1986.961328125,9714
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,1686587869,1686588064,1,195,2262.35,9910.30234375,3370.016015625,11062
BNG(Australian)_OpenML,1000000,14,1686577730,1686577969,1,239,34895.253125,48134.700390625,71099.2671875,91515
BNG(auto_price)_OpenML,1000000,15,1686575918,1686576111,1,193,710.1953125,8730.9609375,850.6078125,8732
BNG(autoHorse)_OpenML,1000000,25,1686576527,1686576720,1,193,759.1328125,8884.12890625,824.44921875,8886
BNG(autoPrice)_OpenML,1000000,15,1686576926,1686577115,1,189,710.971875,8748.875,740.4140625,8750
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,1686588279,1686588469,1,190,771.6328125,8911.08203125,815.514453125,8913
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,1686588683,1686588872,1,189,827.39453125,8890.08203125,891.588671875,8892
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,1686588478,1686588674,1,196,773.174609375,8875.0859375,837.70703125,8877
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,1686589482,1686589673,1,191,763.43359375,8867.20703125,810.7515625,8869
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,1686589883,1686590076,1,193,810.8515625,8881.08203125,840.265625,8883
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,1686589682,1686589874,1,192,785.66015625,8879.08203125,844.447265625,8881
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,1686588881,1686589071,1,190,798.196875,8868.0859375,847.351171875,8870
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,1686589280,1686589473,1,193,797.1875,8886.159375,861.904296875,8888
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,1686589080,1686589271,1,191,749.26953125,8908.1890625,825.278125,8910
BNG(autos)_OpenML,1000000,25,1686531811,1686532022,1,211,5477.066406,14491.17969,5481.1875,14491
BNG(bridges_version1)_OpenML,1000000,12,1686569044,1686569236,1,192,530.33984375,8051.484375,647.8515625,8053
BNG(cholesterol)_OpenML,1000000,13,1686576728,1686576918,1,190,658.986328125,8263.5,745.204296875,8296
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1686474472,1686474670,1,198,9070.172656499999,16600.52734,9879.317188,17496
BNG(colic.ORIG)_OpenML,1000000,27,1686569448,1686569642,1,194,817.4140625,8664.58984375,844.7421875,8664
BNG(colic)_OpenML,1000000,22,1686569651,1686569843,1,192,751.60546875,8584.5234375,779.19140625,8584
BNG(cpu_act)_OpenML,1000000,21,1686576120,1686576311,1,191,743.654296875,8926.880078125,773.0578125,8928
BNG(cpu_small)_OpenML,1000000,12,1686577523,1686577722,1,199,552.272265625,8470.48046875,747.374609375,8472
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1686474871,1686475096,1,225,17039.23281,26150.52734,26895.09531,36966
BNG(credit-a)_OpenML,1000000,15,1686569851,1686570044,1,193,721.40234375,8395.89453125,845.3390625,8397
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1686475099,1686475296,1,197,10739.89766,19238.52734,10868.52031,19238
BNG(credit-g)_OpenML,1000000,20,1686570053,1686570246,1,193,756.92578125,8332.55859375,784.12578125,8332
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1686475527,1686475721,1,194,8254.329297,16550.52734,8282.546875,16550
BNG(cylinder-bands)_OpenML,1000000,39,1686570453,1686570645,1,192,949.61953125,9065.5703125,979.62890625,9067
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1686475725,1686475920,1,195,8415.0753905,16550.52734,8602.853125,16550
BNG(elevators)_OpenML,1000000,18,1686577323,1686577516,1,193,707.10703125,8671.78125,903.015625,8673
BNG(eucalyptus)_OpenML,1000000,19,1686575310,1686575503,1,193,718.08203125,8640.35546875,913.84375,8642
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686486191,1686486391,1,200,7433.007031,15406.07305,14124.71094,22578
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686486393,1686486602,1,209,22843.06641,31927.59609,44778.29531,56382
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686486806,1686487010,1,204,9106.575,16947.75391,16984.96406,26007
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1686487229,1686487443,1,214,25035.31172,35442.01465,48823.33672,62550
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1686487446,1686490154,1,2708,250972.4203,407651.0645,251567.5113,572810
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,1686583405,1686583601,1,196,2251.290625,9324.8953125,3998.228125,11508
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,1686583813,1686584009,1,196,1107.20546875,8669.304296875,1412.1983506944443,8788
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,1686583610,1686583804,1,194,1243.75703125,8684.719140625,1744.44609375,8964
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,1686584636,1686584835,1,199,4830.805078125,12429.95390625,9757.49453125,17613
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,1686585049,1686585245,1,196,2280.853515625,9409.935546875,4069.125390625,11525
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,1686584844,1686585040,1,196,3026.653125,10388.6412109375,5861.67578125,13785
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,1686584017,1686584216,1,199,4422.61328125,11735.3427734375,8671.523828125,16675
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,1686584430,1686584627,1,197,1718.89375,8910.249609375,2536.701953125,9569
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,1686584225,1686584422,1,197,2246.93828125,9428.133203125,4045.109375,11598
BNG(kr-vs-kp)_OpenML,1000000,36,1686471958,1686472178,1,220,24340.243755000003,34620.52734,29411.15781,40386
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686472180,1686472404,1,224,15973.253905,25385.32734,25454.20547,36214
BNG(labor)_OpenML,1000000,16,1686531379,1686531592,1,213,18357.34219,28576.37109,18530.62813,28896
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,1686585253,1686585448,1,195,688.28515625,8674.52734375,825.61953125,8676
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,1686585657,1686585845,1,188,686.2609375,8666.65234375,715.703125,8668
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,1686585457,1686585648,1,191,711.73828125,8674.52734375,741.12890625,8676
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,1686586446,1686586635,1,189,701.14609375,8674.52734375,849.308203125,8676
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,1686586840,1686587031,1,191,691.984375,8674.52734375,844.48828125,8676
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,1686586643,1686586832,1,189,703.16484375,8674.52734375,845.16328125,8676
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,1686585853,1686586043,1,190,693.425390625,8674.52734375,844.251171875,8676
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,1686586251,1686586438,1,187,700.9375,8686.540234375,873.046875,8688
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,1686586051,1686586243,1,192,684.53515625,8674.65625,835.606640625,8676
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686472407,1686472651,1,244,27363.532424999998,39039.72734,50108.1875,65611
BNG(letter)_OpenML,1000000,16,1686531596,1686531807,1,211,7662.773438,16870.51953,7763.340234,16890
BNG(libras_move)_OpenML,1000000,90,1686578386,1686578580,1,194,2252.98046875,10956.567578125,3429.587890625,12344
BNG(lymph_COMMA_1000_COMMA_1)_OpenML,1000000,18,1686590084,1686590277,1,193,750.624609375,8273.03515625,896.85390625,8354
BNG(lymph_COMMA_1000_COMMA_10)_OpenML,1000000,18,1686590486,1686590681,1,195,773.38671875,8271.48828125,889.5,8306
BNG(lymph_COMMA_10000_COMMA_1)_OpenML,1000000,18,1686591295,1686591489,1,194,892.14375,8294.041796875,1062.099609375,8317
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,1686591700,1686591893,1,193,750.075,8265.55078125,873.818359375,8324
BNG(lymph_COMMA_10000_COMMA_5)_OpenML,1000000,18,1686591497,1686591692,1,195,783.443359375,8258.6271484375,955.102734375,8350
BNG(lymph_COMMA_5000_COMMA_1)_OpenML,1000000,18,1686590689,1686590883,1,194,826.7142578124999,8265.8404296875,963.31015625,8282
BNG(lymph_COMMA_5000_COMMA_10)_OpenML,1000000,18,1686591094,1686591287,1,193,772.562890625,8256.48828125,835.2265625,8259
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686472853,1686473055,1,202,11857.21797,20092.52734,12946.68203,20988
BNG(lymph)_OpenML,1000000,18,1686532025,1686532237,1,212,5063.468359500001,13852.02734,5222.496094,13852
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1686473060,1686473262,1,202,8873.092188,17034.52734,8907.742188,17034
BNG(mfeat-fourier)_OpenML,1000000,76,1686532244,1686533162,0,918,248731.8801,535586.7461,249644.6898,800425
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1686473265,1686473462,1,197,8302.972656,16536.52734,8303.044922,16536
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1686473864,1686474062,1,198,9404.333594,17496.52734,10552.88828,18456
BNG(mfeat-zernike)_OpenML,1000000,47,1686569248,1686569439,1,191,838.8359375,6064.2265625,866.38671875,6064
BNG(page-blocks)_OpenML,295245,10,1686280046,1686280063,1,17,1620.269531,13419.12891,1696.796875,13419
BNG(pbc)_OpenML,1000000,18,1686576320,1686576518,1,198,730.09375,8585.75390625,758.96875,8587
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686475299,1686475523,1,224,18859.89609,28134.52734,30350.10898,41268
BNG(pendigits)_OpenML,1000000,16,1686570254,1686570443,1,189,723.89140625,8746.53125,897.290625,8748
BNG(pharynx)_OpenML,1000000,10,1686577122,1686577315,1,193,607.06953125,7847.6779296875,816.82265625,7948
BNG(primary-tumor)_OpenML,1000000,17,1686574061,1686574269,1,208,21590.85,31944.5025390625,41402.32734375,54726
BNG(puma32H)_OpenML,1000000,32,1686578792,1686578990,1,198,836.15625,9328.86171875,969.87734375,9355
BNG(pwLinear)_OpenML,177147,10,1686281782,1686281788,1,6,5928.702734,23362.55469,5944.415625,23362
BNG(satellite_image)_OpenML,1000000,36,1686577978,1686578170,1,192,851.1640625,9444.11328125,991.23359375,9446
BNG(satimage)_OpenML,1000000,36,1686574897,1686575091,1,194,885.16484375,9460.2890625,956.44921875,9477
BNG(segment)_OpenML,1000000,19,1686475922,1686476383,1,461,107814.2563,133509.7145,182281.7453,241947
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1686476389,1686479235,1,2846,249012.2758,459129.7273,251340.8621,644597
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,1686479244,1686479441,1,197,3883.0371095,16551.52734,14163.30273,28797
BNG(sonar)_OpenML,1000000,60,1686570859,1686571121,1,262,8682.39765625,18351.138671875,18799.546484375,31471
BNG(spect_test)_OpenML,1000000,22,1686574278,1686574483,1,205,12173.652734375,20896.812109375,25171.493359375,37642
BNG(SPECT)_OpenML,1000000,22,1686578998,1686579230,1,232,37617.22578125,48840.774609375,80059.19140625,105918
BNG(spectf_test)_OpenML,1000000,44,1686574493,1686574686,1,193,965.32578125,9652.56640625,1121.65546875,9654
BNG(SPECTF)_OpenML,1000000,44,1686579242,1686579432,1,190,958.46875,9640.56640625,988.1171875,9642
BNG(trains)_OpenML,1000000,32,1686486605,1686486804,1,199,3708.013281,11457.18359,3923.028906,11485
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686487013,1686487226,1,213,20472.375,29681.96055,39700.44375,50884
BNG(vehicle)_OpenML,1000000,18,1686571553,1686571751,1,198,738.44140625,8879.80078125,791.459375,8905
BNG(vote)_OpenML,131072,16,1686278222,1686278226,1,4,4346.3201174999995,13662.928909999999,4583.148438,14075
BNG(vowel)_OpenML,1000000,12,1686578587,1686578783,1,196,578.945703125,8341.26953125,724.219921875,8378
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,1686490500,1686490717,1,217,105867.77575,131475.4531,105906.5508,131475
BNG(wine)_OpenML,1000000,13,1686575105,1686575302,1,197,633.71484375,8567.684375,743.36484375,8569
BNG(wisconsin)_OpenML,1000000,32,1686575512,1686575710,1,198,863.528125,9250.9431640625,955.53671875,9252
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,1686490721,1686490941,1,220,68748.86796999999,89607.75391,69942.45703,90631
BNG(zoo)_OpenML,1000000,16,1686572160,1686572616,1,456,169726.7083984375,198399.04531249998,206613.064453125,253626
CovPokElec_OpenML,1455525,72,1686490945,1686492191,0,1246,251607.4805,779861.4984500001,252256.0652,1181560
Diabetes130US_OpenML,101766,49,1686282528,1686282530,1,2,3212.126953,20065.55859,3212.126953,20065
Hyperplane_10_1E-3_OpenML,1000000,10,1686528159,1686528445,1,286,7764.292188,15494.12109,15072.70938,22662
Hyperplane_10_1E-4_OpenML,1000000,10,1686528446,1686528698,1,252,7457.492969,15132.29688,15217.70078,22812
LED(50000)_OpenML,1000000,24,1686528701,1686528907,1,206,1839.8265625,9760.386719,1922.739063,9760
RandomRBF_10_1E-3_OpenML,1000000,10,1686528909,1686529720,1,811,125674.1313,160415.8086,183440.7129,281657
RandomRBF_10_1E-4_OpenML,1000000,10,1686529722,1686530391,1,669,133538.77285,170356.6664,226446.7305,281799
RandomRBF_50_1E-3_OpenML,1000000,10,1686530393,1686530627,1,234,63474.03672,95020.06641,66076.30156,97260
RandomRBF_50_1E-4_OpenML,1000000,10,1686530628,1686530865,1,237,21583.809575,37333.06641,25477.1,41173
spoken-arabic-digit_OpenML,263256,14,1686282150,1686282164,1,14,3116.3847655,20158.55469,3192.894141,20158
