Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686843587.6684885,1686850655.726591,1,7068.058102607727,14458.235742187499,20138.987500000003,31198.392578125,39516
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686850668.5822055,1686857777.6988878,1,7109.116682291031,23136.779296875,28730.2052734375,47824.2015625,54919
BNG(kr-vs-kp)_OpenML,1000000,36,1686857793.1645274,1686864789.212059,1,6996.047531604767,3221.577734375,8763.02734375,5852.32109375,11674
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686864799.0864675,1686871743.5151515,1,6944.428683996201,4627.778125,9818.4984375,8734.54609375,13791
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686871756.6862202,1686878272.3000488,1,6515.613828659058,9981.4921875,14460.888671875,22063.306640625,29134
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,1686878295.725598,1686884823.2510543,1,6527.525456190109,1047.819921875,5830.953125,1392.268359375,6147
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686884831.714249,1686891266.381702,1,6434.667453050613,1259.1328125,5944.68359375,1897.2734375,6545
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1686891282.7859416,1686897893.1501212,1,6610.364179611206,1058.8986328125002,6484.140625,1248.378125,6656
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1686897902.964968,1686904376.1734576,1,6473.208489656448,1010.0220703125,6339.815625,1204.055078125,6509
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686904382.803986,1686910856.2760887,1,6473.472102642059,744.655078125,4949.8671875,944.24453125,5123
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686910862.9377522,1686917288.392196,1,6425.454443693161,743.9755859375,4946.75,944.05,5119
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1686917297.5957334,1686923744.7443435,1,6447.148610115051,1433.3984375,6564.28515625,2208.582421875,7280
BNG(mushroom)_OpenML,1000000,22,1686923753.4913716,1686930217.033661,1,6463.54228925705,1806.825,6619.01953125,2980.8625,7760
