,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
0,1595_poker,1025010,10,1686112135,1686112201,1,66,799.0416015999999,11875.588475,966.9535156,12040
1,poker,1025010,10,1686112201,1686112233,1,32,1005.166797,12481.71719,1088.044141,12895
2,1191_BNG_pbc,1000000,18,1686112238,1686112399,1,161,1372.2464845,12050.729295000001,1993.956641,13131
3,1196_BNG_pharynx,1000000,10,1686112400,1686112480,1,80,1345.7304685,11935.109965,1775.936719,13445
4,1203_BNG_pwLinear,177147,10,1686112483,1686112495,1,12,1657.3166015000002,12503.151170000001,1707.412109,12827
5,1201_BNG_breastTumor,116640,9,1686112495,1686112504,1,9,,,,
6,fars,100968,29,1686112504,1686112517,1,13,1975.185938,12810.66172,1975.185938,12810
7,mnist,70000,784,1686112521,1686112531,1,10,2460.000391,13834.37813,2460.000391,13834
8,connect_4,67557,42,1686112531,1686112540,1,9,2673.208984,13651.71016,2673.208984,13651
9,shuttle,58000,9,1686112540,1686112545,1,5,2341.876953,14109.58359,2341.876953,14109
10,adult,48842,14,1686112545,1686112552,1,7,,,,
11,215_2dplanes,40768,10,1686112552,1686112556,1,4,2340.164844,14168.03555,2340.164844,14168
12,344_mv,40768,10,1686112556,1686112561,1,5,,,,
13,564_fried,40768,10,1686112561,1686112567,1,6,2331.426563,13276.4582,2331.426563,13276
14,1193_BNG_lowbwt,31104,9,1686112567,1686112571,1,4,,,,
15,krkopt,28056,6,1686112571,1686112573,1,2,,,,
16,218_house_8L,22784,8,1686112573,1686112576,1,3,2334.848828,13648.66797,2334.848828,13648
17,574_house_16H,22784,16,1686112576,1686112580,1,4,,,,
18,537_houses,20640,8,1686112580,1686112583,1,3,,,,
19,letter,20000,16,1686112583,1686112587,1,4,2332.932422,13394.88008,2332.932422,13394
20,magic,19020,10,1686112587,1686112589,1,2,,,,
21,1199_BNG_echoMonths,17496,9,1686112589,1686112593,1,4,,,,
22,201_pol,15000,48,1686112593,1686112596,1,3,2336.819531,15074.20586,2336.819531,15074
23,nursery,12958,8,1686112596,1686112597,1,1,,,,
24,pendigits,10992,16,1686112597,1686112600,1,3,,,,
25,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686295189,1686295356,1,167,1638.285156,13110.55859,2102.997266,13600
26,BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,1686295357,1686295374,1,17,2903.982031,12597.63672,2965.1,12779
27,BNG(vote)_OpenML,131072,16,1686295376,1686295392,1,16,3201.506641,13638.404685000001,3247.491797,15469
28,covertype_OpenML,581012,54,1686295394,1686295453,1,59,3437.492188,13890.90625,3988.297266,15392
29,pokerhand_OpenML,829201,10,1686295454,1686295505,1,51,3332.109375,13823.73828,3576.8125,19080
30,covertype_OpenML,110393,54,1686295506,1686295520,1,14,3332.107031,13833.40508,3402.631641,16706
31,BNG(page-blocks)_OpenML,295245,10,1686295521,1686295584,1,63,3873.566406,14280.94531,3873.566406,17360
32,20_newsgroups.drift_OpenML,399940,1001,1686295622,1686295660,1,38,7410.292969,21178.06641,8067.980859,22397
33,KDDCup99_OpenML,494020,41,1686295696,1686295882,1,186,5938.128906,19782.89063,5979.055078,22022
34,BNG(solar-flare)_OpenML,663552,12,1686295884,1686295973,1,89,5952.484375,19778.89063,6073.137891,23979
35,BNG(2dplanes)_OpenML,177147,10,1686295974,1686295986,1,12,6020.464844,19778.89063,6029.505859,21954
36,BNG(pwLinear)_OpenML,177147,10,1686295988,1686296000,1,12,6043.148438,19778.89063,6099.992969,21885
37,BNG(wine_quality)_OpenML,531441,11,1686296001,1686296071,1,70,6047.253906,19842.89063,6194.892188,23989
38,Click_prediction_small_OpenML,149639,11,1686296072,1686296086,1,14,6077.257813,19842.89063,6127.192578,24324
39,Click_prediction_small_OpenML,399482,11,1686296087,1686296123,1,36,6076.539063,19842.89063,6191.308203,24442
40,spoken-arabic-digit_OpenML,263256,14,1686296143,1686296169,1,26,6118.902344,19844.89063,6176.233594,21294
41,covertype_OpenML,581012,54,1686296205,1686296362,1,157,6123.1875,19850.89063,6256.634766,22988
42,creditcard_OpenML,284807,29,1686296363,1686296392,1,29,6151.535156,19936.89453,6324.478125,20852
43,Diabetes130US_OpenML,101766,49,1686296397,1686296407,1,10,6154.683594,19937.89453,6310.978125,24061
44,Buzzinsocialmedia_Twitter_OpenML,583250,77,1686296409,1686296476,1,67,6159.839844,20319.89453,6219.955078,21374
45,20_newsgroups.drift_OpenML,399940,1000,1686296493,1686296534,1,41,7642.3125,22858.19141,7949.999219,25011
46,fars_OpenML,100968,29,1686296534,1686296544,1,10,6117.546875,21331.53906,6170.121484,25294
47,EMNIST_Balanced_OpenML,131600,784,1686296548,1686296561,1,13,6131.320313,21460.53906,6173.986328,23535
48,MiniBooNE_OpenML,130064,50,1686296564,1686296577,1,13,6132.867188,21637.53906,6442.725781,22749
49,dionis_OpenML,416188,60,1686296579,1686296642,1,63,6133.4375,21859.70313,6182.5875,23007
50,Klaverjas2018_OpenML,981541,32,1686296645,1686296748,1,103,6132.960938,21860.70313,6136.810156,21944
51,Kuzushiji-49_OpenML,270912,784,1686296828,1686296865,1,37,6124.167969,28180.70313,6530.291016,29168
52,CreditCardFraudDetection_OpenML,284807,30,1686296871,1686296898,1,27,6170.289063,28824.70313,6398.219922,29343
53,aloi_OpenML,108000,128,1686296904,1686296914,1,10,6174.886719,29351.70313,6369.370703,30236
54,CreditCardFraudDetection_OpenML,284807,30,1686296915,1686296942,1,27,6178.570313,29350.70313,6361.789453,29824
55,SantanderCustomerSatisfaction_OpenML,200000,201,1686296945,1686296995,1,50,6179.714844,29732.70313,6207.93125,33500
56,hls4ml_lhc_jets_hlf_OpenML,830000,16,1686296996,1686297144,1,148,6193.921875,29732.70313,6555.106641,29772
57,medical_charges_nominal_OpenML,163065,11,1686297145,1686297162,1,17,6285.683594,29732.70313,6288.305078,31936
58,Allstate_Claims_Severity_OpenML,188318,130,1686297163,1686297183,1,20,6353.082031,29732.70313,6355.194531,29792
59,RelevantImagesDatasetTEST_OpenML,134731,30,1686297184,1686297199,1,15,6353.105469,29732.70313,6406.622656,31246
60,Yolanda_OpenML,400000,100,1686297202,1686297251,1,49,6374.007813,29732.70313,6403.594141,34507
61,nyc-taxi-green-dec-2016_OpenML,581835,18,1686297253,1686297314,1,61,6376.195313,29733.70313,6378.526172,29784
62,30mlday_OpenML,300000,24,1686297319,1686297354,1,35,6384.90625,30040.70313,6449.580469,31198
63,Porto_Seguro_Safe_Driver_Prediction_2nd_Place_Lightgbm_Solution_OpenML,595212,223,1686297360,1686297481,1,121,6890.789063,30547.03906,6936.861328,37460
64,SGEMM_GPU_kernel_performance_OpenML,241600,17,1686297482,1686297505,1,23,6385.316406,30039.70313,6523.855859,31391
65,SGEMM_GPU_kernel_performance_OpenML,241600,14,1686297568,1686297592,1,24,6606.9625,45462.50313,6662.227344,46903
66,medical_charges_OpenML,188806,12,1686297592,1686297611,1,19,6757.039063,45461.70313,6794.389063,47714
67,covertype_OpenML,423680,54,1686297613,1686297677,1,64,6753.683594,45459.70313,6756.063281,45519
68,covertype_OpenML,566602,10,1686297678,1686297783,1,105,6752.785156,45459.70313,6878.957422,50433
69,covertype_OpenML,566602,10,1686297784,1686297854,1,70,6752.320313,45459.70313,6875.108594,50199
70,covertype_OpenML,566602,10,1686297854,1686297945,1,91,6751.488281,45459.70313,6877.201563,49748
71,Higgs_OpenML,940160,24,1686297948,1686298052,1,104,6749.355469,45682.70313,6752.573438,45740
72,year_OpenML,515345,90,1686298059,1686298123,1,64,6797.082031,45683.70313,6804.737891,47011
73,covertype_OpenML,423680,54,1686298124,1686298184,1,60,6797.304688,45682.70313,6800.900781,45749
74,road-safety_OpenML,111762,32,1686298184,1686298195,1,11,6819.21875,45682.70313,6869.114453,48935
75,nyc-taxi-green-dec-2016_OpenML,581835,10,1686298197,1686298239,1,42,6820.191406,45682.70313,6933.815234,49949
76,Allstate_Claims_Severity_OpenML,188318,124,1686298241,1686298265,1,24,6854.734375,45683.70313,6857.009375,45751
77,nyc-taxi-green-dec-2016_OpenML,581835,16,1686298267,1686298330,1,63,6853.292969,45683.70313,6912.392578,46797
78,nyc-taxi-green-dec-2016_OpenML,581835,10,1686298332,1686298383,1,51,6852.890625,45683.70313,6964.214063,50026
79,Allstate_Claims_Severity_OpenML,188318,124,1686298384,1686298409,1,25,6907.828125,45684.70313,6910.415234,45764
80,nyc-taxi-green-dec-2016_OpenML,581835,16,1686298411,1686298475,1,64,6904.652344,45683.70313,6953.746484,46745
81,Higgs_OpenML,940160,24,1686298480,1686298581,1,101,6902.363281,45684.70313,6911.23125,46212
82,covertype_OpenML,566602,10,1686298582,1686298673,1,91,6899.828125,45683.70313,7029.353906,50519
83,Higgs_OpenML,940160,24,1686298676,1686298776,1,100,6899.261719,45907.70313,6968.197656,46360
84,covertype_OpenML,566602,10,1686298777,1686298854,1,77,6896.933594,45906.70313,7030.008984,50546
85,covertype_OpenML,566602,10,1686298855,1686298939,1,84,6896.992188,45906.70313,7020.797266,49982
86,Higgs_OpenML,940160,24,1686298941,1686299042,1,101,6895.949219,45906.70313,6953.142969,46401
87,covertype_OpenML,423680,54,1686299046,1686299108,1,62,6896.21875,45906.70313,6897.873438,45958
88,road-safety_OpenML,111762,32,1686299108,1686299119,1,11,6898.023438,45906.70313,6959.199219,48861
89,Credit_Card_Fraud_Detection_OpenML,284807,30,1686299120,1686299148,1,28,6897.933594,45906.70313,7149.339063,47008
90,sgemm_gpu_kernel_performance_OpenML,241600,14,1686299150,1686299174,1,24,6899.460938,45906.70313,7117.307422,47488
91,nyc_taxi_green_OpenML,581835,18,1686299175,1686299235,1,60,6898.144531,45906.70313,6901.225,45959
92,road-safety_OpenML,111762,32,1686299236,1686299246,1,10,6899.472656,45907.70313,6941.432422,48487
93,Allstate_Claims_Severity_OpenML,188318,124,1686299247,1686299269,1,22,6920.046875,45907.70313,7112.063281,46721
