Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
20_newsgroups.drift_OpenML,399940,1000,1686491920,1686491972,1,52,8958.136719,43818.92969,8966.386719,49717
BNG(2dplanes)_OpenML,177147,10,1686475442,1686475457,1,15,7000.476563,36788.02734,7000.835938,38092
BNG(adult)_OpenML,1000000,14,1686472669,1686472829,1,160,6839.46875,34981.52734,6875.044141,40251
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686478693,1686478827,1,134,7307.1875,39315.52734,7307.496875,40562
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,1686479030,1686479177,1,147,7307.441406,39371.27734,7307.536328,39893
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,1686478857,1686478999,1,142,7307.078125,39315.27734,7307.238281,40972
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686479660,1686479793,1,133,7305.992188,39371.02734,7306.271875,39614
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686479977,1686480114,1,137,7306.613281,39371.02734,7306.771875,39644
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686479818,1686479953,1,135,7306.789063,39371.02734,7307.039844,39655
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,1686479199,1686479335,1,136,7306.75,39371.27734,7307.176172,39536
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686479357,1686479487,1,130,7306.628906,39371.02734,7307.186719,39968
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686447317,1686447622,1,305,1859.667969,21530.46484,1966.11875,23654
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686480138,1686480275,1,137,7308.640625,39371.02734,7308.640625,39811
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686481015,1686481154,1,139,7316.070313,39369.77734,7316.766016,40947
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686481317,1686481443,1,126,7318.6875,39369.77734,7318.856641,39798
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686481170,1686481294,1,124,7318.089844,39369.77734,7318.677734,40986
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,1686480866,1686480998,1,132,7317.921875,39370.02734,7318.166406,40071
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686480725,1686480847,1,122,7317.652344,39370.27734,7317.754688,39615
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686447629,1686447869,1,240,1979.872656,21595.17578,2096.6875,21671
BNG(anneal.ORIG)_OpenML,1000000,38,1686459436,1686459564,1,128,4273.925781,25393.28906,4631.264063,25751
BNG(anneal)_OpenML,1000000,38,1686459281,1686459416,1,135,4277.945313,25341.33594,4712.856641,25814
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,1686484215,1686484343,1,128,7319.992188,39849.77734,7320.071875,39888
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,1686484367,1686484492,1,125,7320.074219,39849.77734,7320.806641,41306
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,1686484677,1686484826,1,149,7321.957031,39849.77734,7322.061719,39881
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,1686485011,1686485139,1,128,7321.289063,39849.77734,7321.323438,39894
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,1686484857,1686484988,1,131,7322.363281,39849.77734,7322.378516,39892
BNG(Australian)_OpenML,1000000,14,1686476078,1686476220,1,142,7211.570313,37491.02734,7213.238281,43103
BNG(auto_price)_OpenML,1000000,15,1686473965,1686474154,1,189,6849.378906,35970.52734,6940.481641,37412
BNG(autoHorse)_OpenML,1000000,25,1686474738,1686474899,1,161,6852.546875,36275.02734,6874.71875,36334
BNG(autoPrice)_OpenML,1000000,15,1686475139,1686475324,1,185,6854.644531,36275.52734,6932.73125,37310
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,1686485186,1686485339,1,153,7321.625,40009.77734,7392.554297,41645
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,1686485622,1686485778,1,156,7321.382813,40169.77734,7321.498438,40204
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,1686485398,1686485545,1,147,7321.628906,40009.77734,7377.082422,41924
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,1686486415,1686486578,1,163,7321.792969,40169.77734,7321.939844,40208
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,1686486846,1686486998,1,152,7321.820313,40169.77734,7322.625781,41699
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,1686486625,1686486777,1,152,7321.78125,40169.77734,7321.940625,40207
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,1686485827,1686485979,1,152,7321.160156,40169.77734,7321.335156,40210
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,1686486219,1686486368,1,149,7321.402344,40169.77734,7322.084766,41684
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,1686486024,1686486166,1,142,7321.828125,40169.77734,7369.083984,41777
BNG(autos)_OpenML,1000000,25,1686459971,1686460220,1,249,5031.7500005,26587.18359,5135.957813,28263
BNG(bridges_version1)_OpenML,1000000,12,1686461009,1686461227,1,218,5043.230078,27921.14453,5119.20625,29138
BNG(cholesterol)_OpenML,1000000,13,1686474924,1686475085,1,161,6853.820313,36275.27734,6875.734375,36310
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1686450147,1686450311,1,164,2151.8390625,23352.76973,2750.472656,24554
BNG(colic.ORIG)_OpenML,1000000,27,1686461513,1686461665,1,152,4464.584766,27367.142574999998,5087.340625,28011
BNG(colic)_OpenML,1000000,22,1686461704,1686461937,1,233,5028.477344,28023.59375,5132.582031,29420
BNG(cpu_act)_OpenML,1000000,21,1686474216,1686474464,1,248,6873.019531,35993.02734,6873.019531,36022
BNG(cpu_small)_OpenML,1000000,12,1686475723,1686475924,1,201,7000.496094,36978.77734,7233.267188,39324
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1686450576,1686450834,1,258,2955.3087889999997,24201.33594,3055.571875,24277
BNG(credit-a)_OpenML,1000000,15,1686461954,1686462369,1,415,6005.2625,28992.13281,6085.292188,29068
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1686450927,1686451089,1,162,3793.304688,23389.47305,4555.428906,28086
BNG(credit-g)_OpenML,1000000,20,1686462448,1686462635,1,187,4981.683594,27697.91016,5472.862891,30793
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1686451378,1686451499,1,121,3867.75,23438.44141,4206.142188,30959
BNG(cylinder-bands)_OpenML,1000000,39,1686462891,1686463236,1,345,5627.9191405,28797.86016,5717.613281,28866
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1686451519,1686451647,1,128,3840.621094,23406.29688,4191.935938,23758
BNG(elevators)_OpenML,1000000,18,1686475503,1686475646,1,143,7000.574219,36980.02734,7059.752734,38684
BNG(eucalyptus)_OpenML,1000000,19,1686473324,1686473463,1,139,6846.207031,35491.77734,6846.207031,35534
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686453535,1686453676,1,141,3873.539063,23300.13633,4591.160156,24025
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686453689,1686453837,1,148,3873.804688,23325.00313,4517.775,24002
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686454012,1686454139,1,127,3874.734375,23291.62891,4271.485938,23692
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1686454377,1686454538,1,161,3958.433594,23382.83828,4549.299219,24756
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1686454577,1686454943,1,366,5284.864063,24672.39063,5383.19375,24748
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,1686481461,1686481588,1,127,7319.085938,39369.77734,7319.908203,41035
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,1686481752,1686481876,1,124,7318.941406,39369.77734,7319.010156,40551
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,1686481610,1686481736,1,126,7319.878906,39369.77734,7320.051563,40979
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,1686482320,1686482446,1,126,7319.683594,39369.77734,7319.943359,40780
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,1686482606,1686482733,1,127,7319.921875,39369.77734,7320.495703,41465
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,1686482462,1686482589,1,127,7319.695313,39369.77734,7320.584766,41000
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,1686481889,1686482015,1,126,7318.234375,39369.77734,7318.432031,40659
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,1686482181,1686482305,1,124,7318.980469,39369.77734,7319.780469,41195
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,1686482033,1686482160,1,127,7319.097656,39369.77734,7319.728516,41083
BNG(kr-vs-kp)_OpenML,1000000,36,1686447874,1686448019,1,145,1614.527344,21018.24609,2278.834375,21708
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686448037,1686448232,1,195,1836.161719,23160.23086,2192.448438,24630
BNG(labor)_OpenML,1000000,16,1686459585,1686459744,1,159,4189.6136719999995,25417.310545,4819.689063,26038
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,1686482765,1686482892,1,127,7319.785156,39369.77734,7414.703906,40259
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,1686483091,1686483216,1,125,7320.089844,39529.77734,7416.061719,39803
