Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
1191_BNG_pbc,1000000,18,1686111917,1686112198,1,281,1039.5218755,16646.13203,1755.076172,17404
1193_BNG_lowbwt,31104,9,1686105727,1686105734,1,7,,,,
1196_BNG_pharynx,1000000,10,1686105447,1686105611,1,164,1380.072461,16610.994925,1695.153125,17039
1199_BNG_echoMonths,17496,9,1686105760,1686105767,1,7,2853.235938,17800.00195,2853.235938,17800
1201_BNG_breastTumor,116640,9,1686105647,1686105675,1,28,2408.265625,17411.71094,2408.849219,17725
1203_BNG_pwLinear,177147,10,1686105615,1686105647,1,32,2024.748438,17368.25742,2049.048438,17369
1595_poker,1025010,10,1686105067,1686105236,1,169,797.0226563,16606.91875,1147.591016,16921
20_newsgroups.drift_OpenML,399940,1000,1686491920,1686491972,1,52,8958.136719,43818.92969,8966.386719,49717
201_pol,15000,48,1686112893,1686112901,1,8,,,,
215_2dplanes,40768,10,1686105691,1686105699,1,8,2836.1,17783.69375,2836.1,17783
218_house_8L,22784,8,1686105740,1686105746,1,6,2853.221875,17813.60859,2853.221875,17813
30mlday_OpenML,300000,24,1686497697,1686497739,1,42,8249.464844,56804.27734,8398.477734,58182
344_mv,40768,10,1686105700,1686105712,1,12,2844.253125,17807.70547,2844.253125,17807
537_houses,20640,8,1686105747,1686105753,1,6,,,,
564_fried,40768,10,1686105712,1686105726,1,14,2851.7378905,17807.955665,2851.741797,17816
574_house_16H,22784,16,1686112876,1686112884,1,8,2022.543359,16894.92813,2022.543359,16894
ACSIncome_OpenML,1664500,11,1686499260,1686499493,1,233,8245.929688,56804.52734,8453.883984,59111
ACSPublicCoverage_OpenML,1138289,19,1686497978,1686499241,1,1263,10425.719529999998,59019.74414,10453.82891,59054
adult,48842,14,1686112862,1686112876,1,14,2021.040625,16975.76758,2021.040625,16975
Airlines_DepDelay_1M_OpenML,1000000,11,1686506621,1686506762,1,141,8779.195313,74164.38672,8932.840625,77342
Allstate_Claims_Severity_OpenML,188318,130,1686496551,1686496576,1,25,8238.238281,51523.77734,8238.297266,53892
aloi_OpenML,108000,128,1686495852,1686495864,1,12,7662.277344,50883.52734,7707.891016,51096
ATLAS-Higgs-Boson-Machine-Learning-Challenge-2014_OpenML,818238,30,1686509055,1686509151,1,96,8823.222656,74167.13672,8823.417578,74213
autos_OpenML,1000000,25,1686507957,1686508089,1,132,8817.050781,74164.88672,8896.517188,74217
BNG(2dplanes)_OpenML,177147,10,1686475442,1686475457,1,15,7000.476563,36788.02734,7000.835938,38092
BNG(adult)_OpenML,1000000,14,1686472669,1686472829,1,160,6839.46875,34981.52734,6875.044141,40251
BNG(Ailerons)_OpenML,1000000,40,1686476522,1686476680,1,158,7211.179688,37874.27734,7234.898438,39047
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686478693,1686478827,1,134,7307.1875,39315.52734,7307.496875,40562
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,1686479030,1686479177,1,147,7307.441406,39371.27734,7307.536328,39893
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,1686478857,1686478999,1,142,7307.078125,39315.27734,7307.238281,40972
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686479660,1686479793,1,133,7305.992188,39371.02734,7306.271875,39614
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686479977,1686480114,1,137,7306.613281,39371.02734,7306.771875,39644
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686479818,1686479953,1,135,7306.789063,39371.02734,7307.039844,39655
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,1686479199,1686479335,1,136,7306.75,39371.27734,7307.176172,39536
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,1686479507,1686479635,1,128,7307.0,39371.02734,7307.301172,40345
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686479357,1686479487,1,130,7306.628906,39371.02734,7307.186719,39968
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686447317,1686447622,1,305,1859.667969,21530.46484,1966.11875,23654
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686480138,1686480275,1,137,7308.640625,39371.02734,7308.640625,39811
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,1686480441,1686480570,1,129,7314.945313,39370.77734,7314.945313,39727
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,1686480293,1686480419,1,126,7313.429688,39370.77734,7313.429688,39779
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686481015,1686481154,1,139,7316.070313,39369.77734,7316.766016,40947
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686481317,1686481443,1,126,7318.6875,39369.77734,7318.856641,39798
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686481170,1686481294,1,124,7318.089844,39369.77734,7318.677734,40986
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,1686480584,1686480708,1,124,7317.863281,39370.52734,7318.699609,41138
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,1686480866,1686480998,1,132,7317.921875,39370.02734,7318.166406,40071
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686480725,1686480847,1,122,7317.652344,39370.27734,7317.754688,39615
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686447629,1686447869,1,240,1979.872656,21595.17578,2096.6875,21671
BNG(anneal.ORIG)_OpenML,1000000,38,1686459436,1686459564,1,128,4273.925781,25393.28906,4631.264063,25751
BNG(anneal)_OpenML,1000000,38,1686459281,1686459416,1,135,4277.945313,25341.33594,4712.856641,25814
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,1686484215,1686484343,1,128,7319.992188,39849.77734,7320.071875,39888
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,1000000,69,1686484524,1686484647,1,123,7319.757813,39849.77734,7320.261328,41356
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,1686484367,1686484492,1,125,7320.074219,39849.77734,7320.806641,41306
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,1686484677,1686484826,1,149,7321.957031,39849.77734,7322.061719,39881
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,1686485011,1686485139,1,128,7321.289063,39849.77734,7321.323438,39894
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,1686484857,1686484988,1,131,7322.363281,39849.77734,7322.378516,39892
BNG(Australian)_OpenML,1000000,14,1686476078,1686476220,1,142,7211.570313,37491.02734,7213.238281,43103
BNG(auto_price)_OpenML,1000000,15,1686473965,1686474154,1,189,6849.378906,35970.52734,6940.481641,37412
BNG(autoHorse)_OpenML,1000000,25,1686474738,1686474899,1,161,6852.546875,36275.02734,6874.71875,36334
BNG(autoPrice)_OpenML,1000000,15,1686475139,1686475324,1,185,6854.644531,36275.52734,6932.73125,37310
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,1686485186,1686485339,1,153,7321.625,40009.77734,7392.554297,41645
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,1686485622,1686485778,1,156,7321.382813,40169.77734,7321.498438,40204
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,1686485398,1686485545,1,147,7321.628906,40009.77734,7377.082422,41924
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,1686486415,1686486578,1,163,7321.792969,40169.77734,7321.939844,40208
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,1686486846,1686486998,1,152,7321.820313,40169.77734,7322.625781,41699
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,1686486625,1686486777,1,152,7321.78125,40169.77734,7321.940625,40207
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,1686485827,1686485979,1,152,7321.160156,40169.77734,7321.335156,40210
