Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686211367,1686211520,1,153,1996.666016,59155.84863,2970.250391,60418
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686211521,1686211665,1,144,3015.714844,60541.91797,3046.082031,62067
BNG(kr-vs-kp)_OpenML,1000000,36,1686211666,1686211801,1,135,3106.250977,60506.98047,3133.273438,62104
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686211802,1686211954,1,152,3158.29375,60513.99609,3171.644922,62113
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686211955,1686212100,1,145,3163.485742,60517.99609,3180.875,62118
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,1686212102,1686212218,1,116,3236.015625,60523.99609,3269.882813,62125
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686212219,1686212335,1,116,3258.355469,60561.83984,3283.492188,62168
BNG(breast-cancer_COMMA_nominal_COMMA_1000000)_OpenML,1000000,9,1686212336,1686212396,1,60,3289.855469,60579.26172,3522.199219,62181
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1686212398,1686212543,1,145,4827.257813,61935.87109,4979.914063,63470
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1686212544,1686212703,1,159,4997.14375,62012.39063,4998.064063,63568
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686212712,1686212839,1,127,5041.336133,62150.39453,5047.710938,63749
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686212846,1686212975,1,129,5046.489648,62157.28516,5053.871094,63760
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1686213024,1686213182,1,158,5344.523438,62199.59766,5379.832031,63763
BNG(mushroom)_OpenML,1000000,22,1686213192,1686213347,1,155,5386.147266,62219.59766,5401.367188,63805
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,1686213362,1686213495,1,133,5540.442578,62347.76953,5567.757813,63948
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1686213512,1686213655,1,143,5571.852734,62341.44141,5582.207031,63926
BNG(optdigits)_OpenML,1000000,64,1686213700,1686213842,1,142,5525.472656,62343.44141,5528.058594,63948
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1686213852,1686213987,1,135,5522.90625,62596.22266,5537.527344,64186
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,1686213991,1686214026,1,35,5605.295313,63406.65449,5606.985938,64251
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1686214040,1686214160,1,120,5586.570313,62618.51953,5603.742188,64220
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686214177,1686214315,1,138,5607.863281,62652.47266,5625.054688,64245
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1686214335,1686214465,1,130,6683.578516,63650.72266,6690.419531,65246
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1686214481,1686214599,1,118,6646.917969,63605.30078,6658.604688,65219
BNG(segment)_OpenML,1000000,19,1686214612,1686214745,1,133,6671.835938,63629.34766,6674.826563,65231
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1686214757,1686214895,1,138,6654.245313,63657.23828,7070.648438,65231
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,1686214930,1686215083,1,153,7150.51543,64175.72266,7151.650391,65774
BNG(glass_COMMA_nominal_COMMA_137781)_OpenML,137781,9,1686215087,1686215130,1,43,7131.587891,65185.2168,7131.926172,65755
BNG(soybean)_OpenML,1000000,35,1686215169,1686215312,1,143,7133.787695,64226.33203,7233.507813,65716
BNG(spambase)_OpenML,1000000,57,1686215336,1686215336,0,0,,,,
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686215346,1686215496,1,150,7120.026172,64104.33203,7122.177734,65706
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1686215514,1686215642,1,128,7104.991992,64076.95703,7105.891406,65678
BNG(trains)_OpenML,1000000,32,1686215659,1686215770,1,111,7116.132813,64085.51953,7119.394531,65683
