Name,Time,Memory_Physical,Memory_Virtual
python,1685679448.6464102,37.953125,366.66015625
python,1685679458.6808097,38.20703125,366.91015625
python,1685679468.7237232,38.20703125,366.91015625
python,1685679478.7575185,718.72265625,3623.0125
python,1685679488.797116,2987.18203125,5698.475
python,1685679498.8320146,3210.02734375,5545.88671875
python,1685679508.8727195,3210.02734375,5545.88671875
python,1685679518.911638,3210.02734375,5545.88671875
python,1685679528.9539726,3210.02734375,5545.88671875
python,1685679538.9916136,3210.02734375,5545.88671875
python,1685679549.0310633,3210.02734375,5545.88671875
python,1685679559.0661116,3210.02734375,5545.88671875
python,1685679569.10121,3210.02734375,5545.88671875
python,1685679579.139587,3210.02734375,5545.88671875
python,1685679589.1751206,3210.02734375,5545.88671875
python,1685679599.2132146,3210.02734375,5545.88671875
python,1685679609.2525642,3210.02734375,5545.88671875
python,1685679619.2907858,3210.02734375,5545.88671875
python,1685679629.3332758,3210.02734375,5545.88671875
python,1685679639.3735642,3210.02734375,5545.88671875
python,1685679649.4092069,3210.02734375,5545.88671875
python,1685679659.4469948,3210.02734375,5545.88671875
python,1685679669.487617,3210.02734375,5545.88671875
python,1685679679.5233994,3210.02734375,5545.88671875
python,1685679689.5644798,3210.02734375,5545.88671875
python,1685679699.6005366,3210.02734375,5545.88671875
python,1685679709.6349459,3210.02734375,5545.88671875
python,1685679719.6705973,3210.02734375,5545.88671875
python,1685679729.710094,3210.02734375,5545.88671875
python,1685679739.7459,2870.2578125,5471.641015625
python,1685679749.7855797,3525.403125,6697.126953125
python,1685679759.8250363,3978.8203125,6315.65625
python,1685679769.860363,3978.8203125,6315.65625
python,1685679779.8955934,3978.8203125,6315.65625
python,1685679789.935791,3978.8203125,6315.65625
python,1685679799.970075,3978.8203125,6315.65625
python,1685679810.011762,3978.8203125,6315.65625
python,1685679820.0464842,3978.8203125,6315.65625
python,1685679830.0810049,3978.8203125,6315.65625
python,1685679840.1202261,3978.8203125,6315.65625
python,1685679850.1547542,3978.8203125,6315.65625
python,1685679860.1955855,3978.8203125,6315.65625
python,1685679870.2304456,3978.8203125,6315.65625
python,1685679880.2715387,3978.8203125,6315.65625
python,1685679890.3087277,3978.8203125,6315.65625
python,1685679900.3502524,3978.8203125,6315.65625
python,1685679910.3880901,3978.8203125,6315.65625
python,1685679920.4238331,3978.8203125,6315.65625
python,1685679930.4669,3978.8203125,6315.65625
python,1685679940.5088072,3978.8203125,6315.65625
python,1685679950.5432527,3978.8203125,6315.65625
python,1685679960.5833793,3978.8203125,6315.65625
python,1685679970.6176414,3978.8203125,6315.65625
python,1685679980.659092,3978.8203125,6315.65625
python,1685679990.692762,3978.8203125,6315.65625
python,1685680000.7338674,3978.8203125,6315.65625
python,1685680010.7682202,3090.634765625,6405.41640625
python,1685680020.8081472,3982.72265625,6318.9453125
python,1685680030.8426957,3982.72265625,6318.9453125
python,1685680040.8846593,3982.72265625,6318.9453125
python,1685680050.9192567,3982.72265625,6318.9453125
python,1685680060.9605029,3982.72265625,6318.9453125
python,1685680070.998225,3982.72265625,6318.9453125
python,1685680081.0353916,3982.72265625,6318.9453125
python,1685680091.0777593,3982.72265625,6318.9453125
python,1685680101.1160755,3982.72265625,6318.9453125
python,1685680111.1550028,3982.72265625,6318.9453125
python,1685680121.1968577,3982.72265625,6318.9453125
python,1685680131.2317479,3982.72265625,6318.9453125
python,1685680141.272253,3982.72265625,6318.9453125
python,1685680151.3112068,3982.72265625,6318.9453125
python,1685680161.3529305,3982.72265625,6318.9453125
python,1685680171.389216,3982.72265625,6318.9453125
python,1685680181.432945,3982.72265625,6318.9453125
python,1685680191.467227,3982.72265625,6318.9453125
python,1685680201.5071764,3982.72265625,6318.9453125
python,1685680211.5412838,3982.72265625,6318.9453125
python,1685680221.5819025,3982.72265625,6318.9453125
python,1685680231.617056,3982.72265625,6318.9453125
python,1685680241.6581042,3982.72265625,6318.9453125
python,1685680251.6930873,3982.72265625,6318.9453125
python,1685680261.7339609,3982.72265625,6318.9453125
python,1685680271.7757213,3127.736328125,6330.105078125
python,1685680281.8152719,3910.7859375,6321.67578125
python,1685680291.8507786,3987.07421875,6321.67578125
python,1685680301.8932455,3987.07421875,6321.67578125
python,1685680311.9280791,3987.07421875,6321.67578125
python,1685680321.9682863,3987.07421875,6321.67578125
python,1685680332.0029078,3987.07421875,6321.67578125
python,1685680342.0441167,3987.07421875,6321.67578125
python,1685680352.0797765,3987.07421875,6321.67578125
python,1685680362.1215792,3987.07421875,6321.67578125
python,1685680372.1558309,3987.07421875,6321.67578125
python,1685680382.1972756,3987.07421875,6321.67578125
python,1685680392.2320108,3987.07421875,6321.67578125
python,1685680402.2728071,3987.07421875,6321.67578125
python,1685680412.3083925,3987.07421875,6321.67578125
python,1685680422.350346,3987.07421875,6321.67578125
python,1685680432.386086,3987.07421875,6321.67578125
