Name,Time,Memory_Physical,Memory_Virtual,Filename
python,1699035042.2629757,130.6484375,2534.08984375,20_newsgroups.drift_OpenML
python,1699035043.288776,264.765625,2624.005859375,20_newsgroups.drift_OpenML
python,1699035044.3142905,420.8453125,2780.016796875,20_newsgroups.drift_OpenML
python,1699035045.339907,577.05390625,2936.2421875,20_newsgroups.drift_OpenML
python,1699035046.3651853,733.28828125,3092.503515625,20_newsgroups.drift_OpenML
python,1699035047.3906744,889.00703125,3248.2640625,20_newsgroups.drift_OpenML
python,1699035048.4164832,1045.1640625,3404.3578125,20_newsgroups.drift_OpenML
python,1699035049.4420223,1200.7796875,3559.9765625,20_newsgroups.drift_OpenML
python,1699035050.4673104,1356.83359375,3716.0453125,20_newsgroups.drift_OpenML
python,1699035051.4932756,1512.96484375,3872.178125,20_newsgroups.drift_OpenML
python,1699035052.5192199,1669.30234375,4028.558984375,20_newsgroups.drift_OpenML
python,1699035053.544885,1825.69140625,4184.876171875,20_newsgroups.drift_OpenML
python,1699035054.5706823,1981.590625,4340.809765625,20_newsgroups.drift_OpenML
python,1699035055.596558,2137.38671875,4496.57265625,20_newsgroups.drift_OpenML
python,1699035056.6223981,2293.56953125,4652.74453125,20_newsgroups.drift_OpenML
python,1699035057.648023,2449.7265625,4808.957421875,20_newsgroups.drift_OpenML
python,1699035058.6737425,2605.6515625,4964.889453125,20_newsgroups.drift_OpenML
python,1699035059.699531,2758.81796875,5118.02109375,20_newsgroups.drift_OpenML
python,1699035060.7254753,2914.459375,5273.66953125,20_newsgroups.drift_OpenML
python,1699035061.7511592,3070.77109375,5430.001171875,20_newsgroups.drift_OpenML
python,1699035062.7771103,3226.12890625,5585.344140625,20_newsgroups.drift_OpenML
python,1699035063.803585,4193.36875,6535.7390625,20_newsgroups.drift_OpenML
python,1699035064.8303301,5746.42109375,8746.9265625,20_newsgroups.drift_OpenML
python,1699035065.856071,7675.58671875,11343.2546875,20_newsgroups.drift_OpenML
python,1699035066.8821275,9310.7578125,11681.359375,20_newsgroups.drift_OpenML
python,1699035067.9075847,9340.4375,11681.359375,20_newsgroups.drift_OpenML
python,1699035068.9334881,9340.4375,11681.359375,20_newsgroups.drift_OpenML
python,1699035069.9689236,9340.53125,11681.359375,20_newsgroups.drift_OpenML
python,1699035071.0040834,9340.59375,11681.359375,20_newsgroups.drift_OpenML
python,1699035072.039316,9737.115234375,14342.453125,20_newsgroups.drift_OpenML
python,1699035073.0671937,10634.015234375,21005.44453125,20_newsgroups.drift_OpenML
python,1699035074.1056688,11899.78359375,29960.45625,20_newsgroups.drift_OpenML
python,1699035075.144371,11836.971484375,29425.753125,20_newsgroups.drift_OpenML
python,1699035076.186614,11616.0234375,28980.778125,20_newsgroups.drift_OpenML
python,1699035077.2354324,11564.905078125,28458.59765625,20_newsgroups.drift_OpenML
python,1699035078.284124,11410.973046875,27974.03671875,20_newsgroups.drift_OpenML
python,1699035079.3220615,10598.299609375,22864.75546875,20_newsgroups.drift_OpenML
python,1699035080.3490753,10220.90625,22263.4453125,20_newsgroups.drift_OpenML
python,1699035081.3756073,10229.279296875,22264.245703125,20_newsgroups.drift_OpenML
python,1699035082.4015012,10237.7921875,22255.44140625,20_newsgroups.drift_OpenML
python,1699035083.4281514,10286.31875,22289.234765625,20_newsgroups.drift_OpenML
python,1699035084.457715,10341.31796875,22291.2109375,20_newsgroups.drift_OpenML
python,1699035085.4868116,10369.850390625,22291.2109375,20_newsgroups.drift_OpenML
python,1699035086.513796,10474.40390625,22320.6109375,20_newsgroups.drift_OpenML
python,1699035087.5398104,10493.3734375,22332.9859375,20_newsgroups.drift_OpenML
python,1699035088.5655503,10490.912109375,22330.2359375,20_newsgroups.drift_OpenML
python,1699035089.591418,10481.983203125,22321.1359375,20_newsgroups.drift_OpenML
python,1699035090.6178029,10461.069921875,22290.18125,20_newsgroups.drift_OpenML
python,1699035091.6607373,10457.296875,22295.9609375,20_newsgroups.drift_OpenML
python,1699035092.7033117,10457.296875,22295.9609375,20_newsgroups.drift_OpenML
python,1699035093.7420614,10486.75859375,22316.09453125,20_newsgroups.drift_OpenML
python,1699035094.7682521,10510.84375,22332.4109375,20_newsgroups.drift_OpenML
python,1699035095.8006542,10512.28515625,22333.7609375,20_newsgroups.drift_OpenML
python,1699035096.8263786,10510.819921875,22332.3359375,20_newsgroups.drift_OpenML
python,1699035097.8526018,10495.27578125,22308.982421875,20_newsgroups.drift_OpenML
python,1699035098.8779674,10476.6953125,22295.86015625,20_newsgroups.drift_OpenML
python,1699035099.909829,10476.6953125,22297.4609375,20_newsgroups.drift_OpenML
python,1699035100.938751,10477.081640625,22297.5609375,20_newsgroups.drift_OpenML
python,1699035101.964789,10505.37421875,22322.9359375,20_newsgroups.drift_OpenML
python,1699035102.9914718,10513.98515625,22331.7109375,20_newsgroups.drift_OpenML
python,1699035104.0172884,10514.61875,22331.8359375,20_newsgroups.drift_OpenML
python,1699035105.0460048,10505.95078125,22323.1109375,20_newsgroups.drift_OpenML
python,1699035106.0715456,10488.09375,22292.530078125,20_newsgroups.drift_OpenML
python,1699035107.1002665,10483.6015625,22299.9609375,20_newsgroups.drift_OpenML
python,1699035108.128875,10483.6015625,22299.9609375,20_newsgroups.drift_OpenML
python,1699035109.1613383,10497.715234375,22313.5609375,20_newsgroups.drift_OpenML
python,1699035110.1875448,10519.353515625,22334.5109375,20_newsgroups.drift_OpenML
python,1699035111.2135086,10516.361328125,22331.6859375,20_newsgroups.drift_OpenML
python,1699035112.2391903,10515.27421875,22330.6109375,20_newsgroups.drift_OpenML
python,1699035113.2651424,10503.5875,22308.130859375,20_newsgroups.drift_OpenML
python,1699035114.2904747,10486.51171875,22297.033984375,20_newsgroups.drift_OpenML
python,1699035115.3222167,10486.4375,22300.9609375,20_newsgroups.drift_OpenML
python,1699035116.3508177,10486.4375,22300.9609375,20_newsgroups.drift_OpenML
python,1699035117.3774514,10508.203125,22323.3609375,20_newsgroups.drift_OpenML
python,1699035118.4027424,10516.311328125,22331.7359375,20_newsgroups.drift_OpenML
python,1699035119.4318502,10514.324609375,22329.6859375,20_newsgroups.drift_OpenML
python,1699035120.4580169,10510.3671875,22325.6109375,20_newsgroups.drift_OpenML
python,1699035121.483226,10492.63125,22299.33203125,20_newsgroups.drift_OpenML
python,1699035122.5112464,10488.140625,22302.7109375,20_newsgroups.drift_OpenML
python,1699035123.55263,10488.140625,22302.7109375,20_newsgroups.drift_OpenML
python,1699035124.5927875,10495.894921875,22310.6859375,20_newsgroups.drift_OpenML
python,1699035125.6186395,10515.9515625,22331.4109375,20_newsgroups.drift_OpenML
python,1699035126.6455274,10514.651953125,22330.0609375,20_newsgroups.drift_OpenML
python,1699035127.6712625,10513.915625,22329.5859375,20_newsgroups.drift_OpenML
python,1699035128.6972883,10503.19921875,22313.20859375,20_newsgroups.drift_OpenML
python,1699035129.7231255,10488.026171875,22297.75859375,20_newsgroups.drift_OpenML
python,1699035130.764565,10487.91796875,22302.4609375,20_newsgroups.drift_OpenML
python,1699035131.8050697,10487.91796875,22302.4609375,20_newsgroups.drift_OpenML
python,1699035132.835712,10510.555859375,22325.0359375,20_newsgroups.drift_OpenML
python,1699035133.8620307,10516.51875,22330.9359375,20_newsgroups.drift_OpenML
python,1699035134.8874059,10520.175,22334.8359375,20_newsgroups.drift_OpenML
python,1699035135.9162052,10502.666015625,22316.5609375,20_newsgroups.drift_OpenML
python,1699035136.9427016,10492.298046875,22293.0296875,20_newsgroups.drift_OpenML
python,1699035137.9816124,10490.4453125,22303.9609375,20_newsgroups.drift_OpenML
python,1699035139.0102587,10490.4453125,22303.9609375,20_newsgroups.drift_OpenML
python,1699035140.050649,10497.592578125,22310.6859375,20_newsgroups.drift_OpenML
python,1699035141.0826821,10517.180859375,22330.2359375,20_newsgroups.drift_OpenML
python,1699035142.1090581,10520.15546875,22333.4359375,20_newsgroups.drift_OpenML
python,1699035143.1365545,10518.891796875,22331.8609375,20_newsgroups.drift_OpenML
python,1699035144.1623838,10506.68984375,22319.1109375,20_newsgroups.drift_OpenML
python,1699035145.1891425,10493.242578125,22300.68359375,20_newsgroups.drift_OpenML
python,1699035146.217893,10493.21484375,22305.4609375,20_newsgroups.drift_OpenML
python,1699035147.2468815,10493.240234375,22305.4609375,20_newsgroups.drift_OpenML
python,1699035148.2742057,10512.54453125,22325.0109375,20_newsgroups.drift_OpenML
python,1699035149.3008072,10518.175,22330.5609375,20_newsgroups.drift_OpenML
python,1699035150.326886,10523.752734375,22335.9109375,20_newsgroups.drift_OpenML
python,1699035151.3561516,10516.984765625,22329.2109375,20_newsgroups.drift_OpenML
python,1699035152.3815556,10501.60546875,22301.030078125,20_newsgroups.drift_OpenML
python,1699035153.4081805,10494.953125,22306.2109375,20_newsgroups.drift_OpenML
python,1699035154.4467418,10494.953125,22306.2109375,20_newsgroups.drift_OpenML
python,1699035155.4867485,10497.06953125,22308.2359375,20_newsgroups.drift_OpenML
python,1699035156.5125935,10519.746875,22331.0859375,20_newsgroups.drift_OpenML
python,1699035157.5388129,10518.09453125,22329.2609375,20_newsgroups.drift_OpenML
