Name,Time,Memory_Physical,Memory_Virtual,Filename
python,1689268558.0832915,193.9609375,2506.9140625,letter_OpenML
python,1689268559.1158886,193.9609375,2506.9140625,letter_OpenML
python,1689268560.1856153,193.9609375,2506.9140625,letter_OpenML
python,1689268561.2583427,193.9609375,2506.9140625,letter_OpenML
python,1689268562.2913265,193.9609375,2506.9140625,letter_OpenML
python,1689268563.3637931,193.9609375,2506.9140625,letter_OpenML
python,1689268564.3960707,193.9609375,2506.9140625,letter_OpenML
python,1689268565.4237666,833.213671875,6043.08984375,letter_OpenML
python,1689268566.451494,1563.98359375,6100.3078125,letter_OpenML
python,1689268567.479851,2893.238671875,7568.89453125,letter_OpenML
python,1689268568.508312,3242.44921875,7568.89453125,letter_OpenML
python,1689268569.5366592,3242.44921875,7568.89453125,letter_OpenML
python,1689268570.56438,3242.44921875,7568.89453125,letter_OpenML
python,1689268571.5923054,3242.44921875,7568.89453125,letter_OpenML
python,1689268572.6210687,3242.44921875,7568.89453125,letter_OpenML
python,1689268573.6496594,3242.44921875,7568.89453125,letter_OpenML
python,1689268574.677291,3242.44921875,7568.89453125,letter_OpenML
python,1689268575.7071207,3242.44921875,7568.89453125,letter_OpenML
python,1689268576.234323,1453.50703125,5139.38828125,letter_OpenML
python,1689268577.2927423,194.17578125,2506.9140625,nursery_OpenML
python,1689268578.3218973,194.17578125,2506.9140625,nursery_OpenML
python,1689268579.3552108,194.17578125,2506.9140625,nursery_OpenML
python,1689268580.3848095,194.17578125,2506.9140625,nursery_OpenML
python,1689268581.4698775,194.1953125,2506.9140625,pendigits_OpenML
python,1689268582.5400958,194.1953125,2506.9140625,pendigits_OpenML
python,1689268583.610378,194.1953125,2506.9140625,pendigits_OpenML
python,1689268584.6423712,194.1953125,2506.9140625,pendigits_OpenML
python,1689268585.6761916,194.1953125,2506.9140625,pendigits_OpenML
python,1689268586.7088692,194.1953125,2506.9140625,pendigits_OpenML
python,1689268587.74168,194.1953125,2506.9140625,pendigits_OpenML
python,1689268588.7746093,194.1953125,2506.9140625,pendigits_OpenML
python,1689268589.8023567,737.473828125,5194.703125,pendigits_OpenML
python,1689268590.831018,1111.578125,5425.13671875,pendigits_OpenML
python,1689268591.8594954,1111.578125,5425.13671875,pendigits_OpenML
python,1689268592.187058,432.1354166666667,3309.5130208333335,pendigits_OpenML
python,1689268593.2338889,194.1953125,2506.9140625,BNG(tic-tac-toe)_OpenML
python,1689268594.2736063,194.1953125,2506.9140625,BNG(tic-tac-toe)_OpenML
python,1689268595.3056974,194.1953125,2506.9140625,BNG(tic-tac-toe)_OpenML
python,1689268596.3390677,194.1953125,2506.9140625,BNG(tic-tac-toe)_OpenML
python,1689268597.3684042,194.1953125,2506.9140625,BNG(tic-tac-toe)_OpenML
python,1689268598.411727,194.1953125,2506.9140625,electricity_OpenML
python,1689268599.4431267,194.1953125,2506.9140625,electricity_OpenML
python,1689268600.4756596,194.1953125,2506.9140625,electricity_OpenML
python,1689268601.5069928,194.1953125,2506.9140625,electricity_OpenML
python,1689268601.7461288,94.37890625,2021.208984375,electricity_OpenML
python,1689268602.8209982,194.1953125,2506.9140625,adult_OpenML
python,1689268603.853246,194.1953125,2506.9140625,adult_OpenML
python,1689268604.8851762,194.1953125,2506.9140625,adult_OpenML
python,1689268605.917959,194.1953125,2506.9140625,adult_OpenML
python,1689268606.9503338,194.1953125,2506.9140625,adult_OpenML
python,1689268607.9897254,194.1953125,2506.9140625,kropt_OpenML
python,1689268609.0220125,194.1953125,2506.9140625,kropt_OpenML
python,1689268610.0553575,194.1953125,2506.9140625,kropt_OpenML
python,1689268611.088126,194.1953125,2506.9140625,kropt_OpenML
python,1689268612.131636,194.1953125,2506.9140625,pol_OpenML
python,1689268613.1634011,194.1953125,2506.9140625,pol_OpenML
python,1689268614.1914086,194.1953125,2506.9140625,pol_OpenML
python,1689268615.22343,194.1953125,2506.9140625,pol_OpenML
python,1689268616.2501419,487.965625,5379.1015625,pol_OpenML
python,1689268617.2772932,1088.338671875,5647.3046875,pol_OpenML
python,1689268618.304278,1921.740234375,6237.3515625,pol_OpenML
python,1689268619.3308651,1914.801953125,6237.3515625,pol_OpenML
python,1689268620.357599,1914.765625,6237.3515625,pol_OpenML
python,1689268621.3841758,1914.765625,6237.3515625,pol_OpenML
python,1689268622.4110591,1657.102734375,6065.4265625,pol_OpenML
python,1689268623.4815812,194.1953125,2506.9140625,2dplanes_OpenML
python,1689268624.514922,194.1953125,2506.9140625,2dplanes_OpenML
python,1689268625.5473685,194.1953125,2506.9140625,2dplanes_OpenML
python,1689268626.580044,194.1953125,2506.9140625,2dplanes_OpenML
python,1689268627.610739,194.1953125,2506.9140625,2dplanes_OpenML
python,1689268628.6392474,1850.073828125,10544.24609375,2dplanes_OpenML
python,1689268629.6670873,2562.1765625,10544.24609375,2dplanes_OpenML
python,1689268630.6951334,3342.80625,10544.24609375,2dplanes_OpenML
python,1689268631.7230568,4195.51875,10544.24609375,2dplanes_OpenML
python,1689268632.7510185,4912.959375,10544.24609375,2dplanes_OpenML
python,1689268633.7785149,5610.6515625,10544.24609375,2dplanes_OpenML
python,1689268634.8061683,6277.68984375,10623.49609375,2dplanes_OpenML
python,1689268635.8343673,6891.64453125,11336.74609375,2dplanes_OpenML
python,1689268636.8633037,7517.005859375,15774.73671875,2dplanes_OpenML
python,1689268637.8928258,10005.52109375,16884.234375,2dplanes_OpenML
python,1689268638.9399848,11627.372265625,16884.234375,2dplanes_OpenML
python,1689268640.064571,11506.1859375,16884.234375,2dplanes_OpenML
python,1689268641.3167975,11419.67109375,16884.234375,2dplanes_OpenML
python,1689268642.3865957,11389.615234375,16884.234375,2dplanes_OpenML
python,1689268643.4141126,11387.305078125,16884.234375,2dplanes_OpenML
python,1689268644.4423854,11387.671875,16884.234375,2dplanes_OpenML
python,1689268645.4705505,11387.671875,16884.234375,2dplanes_OpenML
python,1689268646.499016,11387.671875,16884.234375,2dplanes_OpenML
python,1689268647.5268695,11385.184375,16884.234375,2dplanes_OpenML
python,1689268648.5552852,11361.998828125,16884.234375,2dplanes_OpenML
python,1689268649.583642,11353.44140625,16884.234375,2dplanes_OpenML
python,1689268650.6118693,11353.44140625,16884.234375,2dplanes_OpenML
python,1689268651.6401558,11353.44140625,16884.234375,2dplanes_OpenML
python,1689268652.6680596,11351.014453125,16884.234375,2dplanes_OpenML
python,1689268653.6962836,11332.11328125,16884.234375,2dplanes_OpenML
python,1689268654.724445,11325.62109375,16884.234375,2dplanes_OpenML
python,1689268655.7529864,11325.62109375,16884.234375,2dplanes_OpenML
python,1689268656.7810202,11325.62109375,16884.234375,2dplanes_OpenML
python,1689268657.8090158,11325.659375,16884.234375,2dplanes_OpenML
python,1689268658.8374279,11325.8125,16884.234375,2dplanes_OpenML
python,1689268659.8655913,11325.8125,16884.234375,2dplanes_OpenML
python,1689268660.8936453,11325.8125,16884.234375,2dplanes_OpenML
python,1689268661.9218976,11325.8125,16884.234375,2dplanes_OpenML
python,1689268662.9502077,11325.8125,16884.234375,2dplanes_OpenML
python,1689268663.9787564,11323.495703125,16884.234375,2dplanes_OpenML
python,1689268665.0068672,11305.78828125,16884.234375,2dplanes_OpenML
python,1689268666.035116,11300.52734375,16884.234375,2dplanes_OpenML
python,1689268667.06363,11300.60078125,16884.234375,2dplanes_OpenML
python,1689268668.0918887,11300.7109375,16884.234375,2dplanes_OpenML
python,1689268669.1195784,11300.7109375,16884.234375,2dplanes_OpenML
python,1689268670.1482782,11300.7109375,16884.234375,2dplanes_OpenML
python,1689268671.1763911,11300.7109375,16884.234375,2dplanes_OpenML
python,1689268672.2051768,11300.7109375,16884.234375,2dplanes_OpenML
python,1689268673.2335887,11300.7109375,16884.234375,2dplanes_OpenML
