Filename,Row,Columm,StartTime,EndTime,Completed
letter_OpenML,20000,16,1689040103.6013176,1689040105.9526699,1
nursery_OpenML,0,0,0,0,-1
pendigits_OpenML,10992,16,1689040114.6972125,1689040116.6318865,1
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1689040132.3583086,1689040440.55091,1
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1689040453.002778,1689040693.1886137,1
BNG(kr-vs-kp)_OpenML,1000000,36,1689040706.3564305,1689040873.9549952,1
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1689040888.5299032,1689041005.6520047,1
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1689041016.6496398,1689041116.5476613,1
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,1689041129.9907508,1689041234.1574776,1
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1689041244.5303264,1689041323.3157086,1
BNG(breast-cancer_COMMA_nominal_COMMA_1000000)_OpenML,0,0,0,0,-1
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1689041373.1747832,1689041871.421401,1
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1689041926.507972,1689042166.743784,1
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1689042180.6463675,1689042230.5202212,1
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1689042239.8503127,1689042290.3028448,1
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,1689042325.65394,1689042611.6395118,1
BNG(cmc_COMMA_nominal_COMMA_55296)_OpenML,0,0,0,0,-1
BNG(mushroom)_OpenML,1000000,22,1689042627.107514,1689042757.646456,1
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,1689042775.497895,1689042883.8600652,1
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1689042905.2880025,1689043005.436783,1
BNG(optdigits)_OpenML,1000000,64,1689043075.266337,1689043328.270148,1
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1689043337.1821818,1689043415.7411785,1
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,1689043420.6135125,1689043433.968915,1
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1689043445.333181,1689043535.92006,1
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1689043552.8262138,1689043644.1494942,1
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1689043662.6628027,1689043808.1415458,1
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1689043822.199237,1689043983.6230226,1
BNG(segment)_OpenML,1000000,19,1689043995.1979735,1689044122.0787044,1
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1689044139.551406,1689044274.4615595,1
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,1689044335.706773,1689044925.258207,1
BNG(glass_COMMA_nominal_COMMA_137781)_OpenML,0,0,0,0,-1
BNG(soybean)_OpenML,1000000,35,1689044973.6350834,1689045195.6039357,1
BNG(spambase)_OpenML,1000000,57,1689045235.0969372,1689045235.5019479,-1
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1689045250.1221826,1689045324.939205,1
BNG(tic-tac-toe)_OpenML,0,0,0,0,-1
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1689045337.3515842,1689045421.990183,1
BNG(trains)_OpenML,1000000,32,1689045442.60834,1689045558.1437051,1
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1689045578.2422328,1689045638.1357896,1
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1689045652.9134948,1689045761.145516,1
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1689045775.7147398,1689045869.0717056,1
BNG(vote)_OpenML,131072,16,1689045873.4672883,1689045884.4539714,1
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1689045900.172904,1689046027.02413,1
BNG(ionosphere)_OpenML,1000000,34,1689046061.0142949,1689046369.0954049,1
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,1689046392.443588,1689046549.0938525,1
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,1689046558.072914,1689046622.8688686,1
CovPokElec_OpenML,1455525,72,1689046645.3668616,1689047067.9000237,1
covertype_OpenML,581012,54,1689047085.384277,1689047291.6726031,1
electricity_OpenML,0,0,0,0,-1
Hyperplane_10_1E-3_OpenML,1000000,10,1689047330.9908094,1689047396.9793952,1
Hyperplane_10_1E-4_OpenML,1000000,10,1689047431.5653305,1689047497.2566326,1
LED(50000)_OpenML,1000000,24,1689047506.9370859,1689047625.8393295,1
pokerhand_OpenML,829201,10,1689047631.804152,1689047668.3669906,1
RandomRBF_0_0_OpenML,1000000,10,1689047698.2010784,1689047769.0427072,1
RandomRBF_10_1E-3_OpenML,1000000,10,1689047800.3789363,1689047876.529269,1
RandomRBF_10_1E-4_OpenML,1000000,10,1689047913.9127603,1689047986.1626441,1
RandomRBF_50_1E-3_OpenML,1000000,10,1689048035.0849543,1689048108.039022,1
RandomRBF_50_1E-4_OpenML,1000000,10,1689048147.963083,1689048226.3102312,1
SEA(50)_OpenML,0,0,0,0,-1
SEA(50000)_OpenML,0,0,0,0,-1
adult_OpenML,0,0,0,0,-1
covertype_OpenML,110393,54,1689048278.17687,1689048325.2988093,1
kropt_OpenML,0,0,0,0,-1
pol_OpenML,15000,48,1689048335.305584,1689048338.6979275,1
2dplanes_OpenML,40768,10,1689048342.8103995,1689048345.705521,1
elevators_OpenML,16599,18,1689048350.0241482,1689048352.4792807,1
house_8L_OpenML,0,0,0,0,-1
BNG(anneal)_OpenML,1000000,38,1689048378.9506502,1689048563.3980234,1
BNG(anneal.ORIG)_OpenML,1000000,38,1689048575.539597,1689048716.2056112,1
BNG(labor)_OpenML,1000000,16,1689048736.7680073,1689048820.9947767,1
BNG(letter)_OpenML,1000000,16,1689048856.3717625,1689048951.3507717,1
BNG(autos)_OpenML,1000000,25,1689049005.6723123,1689049248.1855137,1
BNG(lymph)_OpenML,1000000,18,1689049261.0030036,1689049355.7144089,1
BNG(mfeat-fourier)_OpenML,1000000,76,1689049531.0726733,1689050013.558423,1
BNG(breast-w)_OpenML,0,0,0,0,-1
BNG(mfeat-karhunen)_OpenML,1000000,64,1689050193.7959445,1689050606.4553375,1
BNG(bridges_version1)_OpenML,1000000,12,1689050623.261261,1689050723.5369506,1
BNG(mfeat-zernike)_OpenML,1000000,47,1689050848.013887,1689051183.704379,1
BNG(cmc)_OpenML,0,0,0,0,-1
BNG(colic.ORIG)_OpenML,1000000,27,1689051222.940747,1689051367.9348407,1
BNG(colic)_OpenML,1000000,22,1689051397.911294,1689051577.5674486,1
BNG(credit-a)_OpenML,1000000,15,1689051602.8535643,1689051804.1429305,1
BNG(page-blocks)_OpenML,295245,10,1689051821.6688948,1689051868.066436,1
BNG(credit-g)_OpenML,1000000,20,1689051889.5816123,1689052017.9164233,1
BNG(pendigits)_OpenML,1000000,16,1689052063.6637127,1689052200.923364,1
BNG(cylinder-bands)_OpenML,1000000,39,1689052252.0019853,1689052704.4986277,1
BNG(dermatology)_OpenML,1000000,34,1689052719.0826156,1689052854.5177526,1
BNG(sonar)_OpenML,1000000,60,1689052968.0735126,1689053344.826321,1
BNG(glass)_OpenML,0,0,0,0,-1
BNG(heart-c)_OpenML,1000000,13,1689053370.4999027,1689053454.0839024,1
BNG(heart-statlog)_OpenML,1000000,13,1689053484.0273826,1689053600.8087401,1
BNG(vehicle)_OpenML,1000000,18,1689053648.3285508,1689053822.1330485,1
BNG(hepatitis)_OpenML,1000000,19,1689053839.6045256,1689053964.9190662,1
BNG(waveform-5000)_OpenML,1000000,40,1689054060.3714416,1689054316.4234512,1
BNG(zoo)_OpenML,1000000,16,1689054329.9683328,1689054447.4153593,1
IMDB.drama_OpenML,0,0,0,0,-1
20_newsgroups.drift_OpenML,399940,1001,1689055710.2227256,1689058029.3351622,1
meta_stream_intervals.arff_OpenML,45164,74,1689058050.7170515,1689058065.9074962,1
covertype_OpenML,0,0,0,0,-1
Ailerons_OpenML,13750,40,1689058103.1728427,1689058106.3118198,1
mammography_OpenML,0,0,0,0,-1
mv_OpenML,40768,10,1689058116.7854626,1689058120.06702,1
webdata_wXa_OpenML,0,0,0,0,-1
codrna_OpenML,0,0,0,0,-1
poker_OpenML,0,0,0,0,-1
vehicle_sensIT_OpenML,0,0,0,0,-1
internet_usage_OpenML,0,0,0,0,-1
ohscal.wc_OpenML,0,0,0,0,-1
houses_OpenML,0,0,0,0,-1
mnist_784_OpenML,70000,784,1689058266.2259262,1689058542.3161073,1
fried_OpenML,40768,10,1689058546.7158506,1689058550.0620358,1
house_16H_OpenML,22784,16,1689058555.0851274,1689058558.0900269,1
pol_OpenML,15000,48,1689058562.144758,1689058565.512391,1
2dplanes_OpenML,40768,10,1689058569.3502982,1689058571.9889438,1
ailerons_OpenML,13750,40,1689058576.2965605,1689058579.7023344,1
house_16H_OpenML,22784,16,1689058584.7394483,1689058587.5436897,1
houses_OpenML,0,0,0,0,-1
house_8L_OpenML,0,0,0,0,-1
elevators_OpenML,16599,18,1689058601.1074922,1689058603.4378068,1
mv_OpenML,40768,10,1689058608.1210537,1689058611.126842,1
fried_OpenML,40768,10,1689058615.7049108,1689058618.8103168,1
nursery_OpenML,0,0,0,0,-1
letter_OpenML,20000,16,1689058626.624614,1689058628.89481,1
kdd_internet_usage_OpenML,0,0,0,0,-1
pendigits_OpenML,10992,16,1689058636.996612,1689058638.8993073,1
sylva_prior_OpenML,14395,108,1689058643.155626,1689058649.2024064,1
eye_movements_OpenML,10936,27,1689058653.1749508,1689058655.6403837,1
mozilla4_OpenML,0,0,0,0,-1
jm1_OpenML,0,0,0,0,-1
KDDCup99_full_OpenML,4898431,41,1689058690.9693167,1689058691.43944,-1
KDDCup09_appetency_OpenML,0,0,0,0,-1
KDDCup09_churn_OpenML,0,0,0,0,-1
KDDCup99_OpenML,494020,41,1689058717.2011561,1689058717.8600852,-1
KDDCup09_upselling_OpenML,0,0,0,0,-1
adult-census_OpenML,0,0,0,0,-1
MagicTelescope_OpenML,19020,10,1689058735.1768022,1689058737.2892904,1
airlines_OpenML,0,0,0,0,-1
BNG(primary-tumor)_OpenML,1000000,17,1689058751.1005933,1689058830.187658,1
BNG(solar-flare)_OpenML,663552,12,1689058836.7318447,1689058884.6975844,1
BNG(solar-flare)_OpenML,1000000,12,1689058901.2352126,1689058985.958927,1
BNG(spect_test)_OpenML,1000000,22,1689058995.7488499,1689059088.314108,1
BNG(spectf_test)_OpenML,1000000,44,1689059192.0627406,1689059563.9674706,1
BNG(adult)_OpenML,1000000,14,1689059577.8646038,1689059677.2585654,1
BNG(satimage)_OpenML,1000000,36,1689059760.8456824,1689060055.459799,1
BNG(baseball)_OpenML,0,0,0,0,-1
BNG(wine)_OpenML,1000000,13,1689060146.079482,1689060250.9482875,1
BNG(eucalyptus)_OpenML,1000000,19,1689060280.544828,1689060418.4165432,1
BNG(wisconsin)_OpenML,1000000,32,1689060491.171649,1689060762.7515907,1
BNG(cleveland)_OpenML,1000000,13,1689060784.077485,1689060910.0214953,1
BNG(auto_price)_OpenML,1000000,15,1689060955.7513723,1689061134.321019,1
BNG(cpu_act)_OpenML,1000000,21,1689061180.3495157,1689061538.7938526,1
BNG(pbc)_OpenML,1000000,18,1689061576.7860885,1689061709.6590977,1
BNG(autoHorse)_OpenML,1000000,25,1689061748.8688104,1689061973.9301379,1
BNG(lowbwt)_OpenML,0,0,0,0,-1
BNG(cholesterol)_OpenML,1000000,13,1689061997.0406837,1689062094.1074858,1
BNG(autoPrice)_OpenML,1000000,15,1689062135.0794241,1689062296.692914,1
BNG(pharynx)_OpenML,1000000,10,1689062307.8452308,1689062364.0488636,1
BNG(2dplanes)_OpenML,177147,10,1689062369.3773766,1689062378.691978,1
BNG(elevators)_OpenML,1000000,18,1689062418.3611777,1689062539.7680838,1
BNG(echoMonths)_OpenML,0,0,0,0,-1
BNG(stock)_OpenML,0,0,0,0,-1
BNG(breastTumor)_OpenML,0,0,0,0,-1
BNG(cpu_small)_OpenML,1000000,12,1689062597.7643743,1689062757.2304313,1
BNG(pwLinear)_OpenML,177147,10,1689062763.791716,1689062772.9492548,1
BNG(wine_quality)_OpenML,531441,11,1689062796.455219,1689062858.880256,1
BNG(Australian)_OpenML,1000000,14,1689062879.6771863,1689062968.8045123,1
BNG(satellite_image)_OpenML,1000000,36,1689063052.8338406,1689063332.9579937,1
BNG(Ailerons)_OpenML,1000000,40,1689063375.645065,1689063653.9119241,1
BNG(libras_move)_OpenML,1000000,90,1689063803.1914628,1689064395.1346946,1
BNG(vowel)_OpenML,1000000,12,1689064422.246799,1689064499.8353415,1
BNG(puma32H)_OpenML,1000000,32,1689064581.87873,1689064801.0353987,1
BNG(SPECT)_OpenML,1000000,22,1689064810.2462025,1689064961.3838894,1
BNG(SPECTF)_OpenML,1000000,44,1689065094.5756156,1689065511.148916,1
BNG(mv)_OpenML,78732,10,1689065518.0158243,1689065523.505064,1
BNG(JapaneseVowels)_OpenML,1000000,14,1689065555.126142,1689065683.9282281,1
Click_prediction_small_OpenML,0,0,0,0,-1
Click_prediction_small_OpenML,149639,11,1689065751.524418,1689065760.205804,1
Click_prediction_small_OpenML,1997410,11,1689065794.3077023,1689065978.6147325,1
Click_prediction_small_OpenML,399482,11,1689065989.3163013,1689066021.168195,1
Click_prediction_small_OpenML,0,0,0,0,-1
letter-challenge-unlabeled.arff_OpenML,20000,16,1689066034.4900584,1689066036.7707446,1
Click_prediction_small_OpenML,0,0,0,0,-1
Agrawal1_OpenML,0,0,0,0,-1
Stagger1_OpenML,0,0,0,0,-1
Stagger2_OpenML,0,0,0,0,-1
Stagger3_OpenML,0,0,0,0,-1
AirlinesCodrnaAdult_OpenML,0,0,0,0,-1
codrnaNorm_OpenML,0,0,0,0,-1
vehicleNorm_OpenML,0,0,0,0,-1
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,1689066255.7046072,1689066456.5337286,1
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,1689066478.0696995,1689066663.5070891,1
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,1689066692.3861535,1689066880.1168773,1
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,1689066902.5173237,1689067074.5144963,1
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,1689067101.5035553,1689067274.3773985,1
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,1689067299.4011564,1689067443.72745,-1
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,1689077646.6324632,1689077844.1043184,1
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,1689077867.7953122,1689078047.1846013,1
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,1689078075.0941446,1689078278.954522,1
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,1689078281.838357,1689078447.8705328,1
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,1689078467.608096,1689078626.3401127,1
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,1689078650.9780958,1689078835.6733665,1
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,0,0,0,0,-23
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,1689082464.275046,1689082652.324914,1
