Filename,Row,Columm,StartTime,EndTime,Completed
1595_poker,1025010,10,1686112135.1363883,1686112200.5087845,1
poker,1025010,10,1686112200.939784,1686112233.2997632,1
1191_BNG_pbc,1000000,18,1686112237.8745625,1686112399.3389518,1
1196_BNG_pharynx,1000000,10,1686112400.0156436,1686112479.8278067,1
kddcup,494020,41,1686112482.5988123,1686112483.3292615,0
1203_BNG_pwLinear,177147,10,1686112483.462555,1686112494.9846706,1
1201_BNG_breastTumor,116640,9,1686112495.0590672,1686112503.8534048,1
fars,100968,29,1686112504.2032516,1686112516.9301362,1
mnist,70000,784,1686112521.3177266,1686112531.0201936,1
connect_4,67557,42,1686112531.2920392,1686112540.076805,1
shuttle,58000,9,1686112540.1061978,1686112544.8985677,1
adult,48842,14,1686112545.0011356,1686112551.9938138,1
215_2dplanes,40768,10,1686112552.025404,1686112555.8589323,1
344_mv,40768,10,1686112555.9060593,1686112560.8945796,1
564_fried,40768,10,1686112560.948831,1686112567.1792617,1
1193_BNG_lowbwt,31104,9,1686112567.2041628,1686112570.7388587,1
krkopt,28056,6,1686112570.7471604,1686112572.831176,1
218_house_8L,22784,8,1686112572.8532748,1686112576.0567122,1
574_house_16H,22784,16,1686112576.1288245,1686112580.0751665,1
537_houses,20640,8,1686112580.0933394,1686112582.8854108,1
letter,20000,16,1686112582.9291427,1686112586.6140356,1
magic,19020,10,1686112586.631713,1686112589.4066348,1
1199_BNG_echoMonths,17496,9,1686112589.426664,1686112592.5076976,1
201_pol,15000,48,1686112592.5902634,1686112595.7459931,1
nursery,12958,8,1686112595.7530239,1686112597.4540386,1
pendigits,10992,16,1686112597.4798605,1686112600.3526978,1
