Filename,Row,Columm,StartTime,EndTime,Completed
1595_poker,1025010,10,1686105067,1686105236,1
poker,1025010,10,1686105237,1686105440,1
1196_BNG_pharynx,1000000,10,1686105447,1686105611,1
1203_BNG_pwLinear,177147,10,1686105615,1686105647,1
1201_BNG_breastTumor,116640,9,1686105647,1686105675,1
shuttle,58000,9,1686105681,1686105691,1
215_2dplanes,40768,10,1686105691,1686105699,1
344_mv,40768,10,1686105700,1686105712,1
564_fried,40768,10,1686105712,1686105726,1
1193_BNG_lowbwt,31104,9,1686105727,1686105734,1
krkopt,28056,6,1686105734,1686105740,1
218_house_8L,22784,8,1686105740,1686105746,1
537_houses,20640,8,1686105747,1686105753,1
magic,19020,10,1686105754,1686105760,1
1199_BNG_echoMonths,17496,9,1686105760,1686105767,1
nursery,12958,8,1686105767,1686105772,1
