Filename,Row,Columm,StartTime,EndTime,Completed
2dplanes_OpenML,40768,10,1715622871.4890754,1715622874.3337035,1
Ailerons_OpenML,13750,40,1715622875.212546,1715622878.2919595,1
BNG(2dplanes)_OpenML,177147,10,1715622879.2563438,1715622891.0111651,1
BNG(pwLinear)_OpenML,177147,10,1715622892.0215979,1715622905.263246,1
BNG(vote)_OpenML,131072,16,1715622906.252099,1715622916.5993085,1
CreditCardSubset_OpenML,14240,30,1715622917.51311,1715622920.8637047,1
Diabetes130US_OpenML,101766,49,1715622922.043199,1715622941.683721,1
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,1715622942.5294065,1715622943.8178904,1
MagicTelescope_OpenML,19020,10,1715622944.660545,1715622946.5240948,1
OnlineNewsPopularity_OpenML,39644,60,1715622947.568935,1715622960.4085078,1
PhishingWebsites_OpenML,11055,30,1715622961.2555814,1715622963.2070794,1
ailerons_OpenML,13750,40,1715622964.075332,1715622967.0151682,1
bank-marketing_OpenML,45211,16,1715622967.8839493,1715622971.5010662,1
eeg-eye-state_OpenML,14980,14,1715622972.335685,1715622974.2838178,1
elevators_OpenML,16599,18,1715622975.1347008,1715622977.4072316,1
eye_movements_OpenML,10936,27,1715622978.2581127,1715622980.416392,1
fried_OpenML,40768,10,1715622981.2650883,1715622984.0842726,1
gas-drift-different-concentrations_OpenML,13910,129,1715622985.1294854,1715622996.9123297,1
gas-drift_OpenML,13910,128,1715622997.9632905,1715623009.6133153,1
har_OpenML,10299,561,1715623011.2065222,1715623045.9925091,1
house_16H_OpenML,22784,16,1715623046.8675885,1715623049.6246634,1
letter_OpenML,20000,16,1715623050.4686449,1715623052.5087368,1
meta_stream_intervals.arff_OpenML,45164,74,1715623053.6463675,1715623070.972819,1
mnist_784_OpenML,70000,784,1715623076.063332,1715623273.8582876,1
mv_OpenML,40768,10,1715623274.8092537,1715623277.9101613,1
nomao_OpenML,34465,118,1715623279.130492,1715623297.8449712,1
numerai28.6_OpenML,96320,21,1715623298.8825138,1715623313.9925318,1
pendigits_OpenML,10992,16,1715623314.8456895,1715623316.3915799,1
pol_OpenML,15000,48,1715623317.270522,1715623320.7780282,1
spoken-arabic-digit_OpenML,263256,14,1715623321.9867098,1715623348.2084131,1
sylva_prior_OpenML,14395,108,1715623349.217566,1715623355.9130385,1
