Filename,Row,Columm,StartTime,EndTime,Completed
BNG(2dplanes)_OpenML,177147,10,1710448084.5890033,0,-22
BNG(2dplanes)_OpenML,177147,10,1710448084.5890033,1710449788.9069247,1
BNG(page-blocks)_OpenML,295245,10,1710449802.3760648,0,-22
BNG(pwLinear)_OpenML,177147,10,1710459583.436249,0,-22
BNG(pwLinear)_OpenML,177147,10,1710459583.436249,1710461215.534775,1
BNG(vote)_OpenML,131072,16,1710461237.7714987,0,-22
BNG(vote)_OpenML,131072,16,1710461237.7714987,1710461824.0381844,1
Diabetes130US_OpenML,101766,49,1710461825.3468614,0,-22
Diabetes130US_OpenML,101766,49,1710461825.3468614,1710462172.9752326,1
mnist_784_OpenML,70000,784,1710462178.2060094,0,-22
mnist_784_OpenML,70000,784,1710462178.2060094,1710463376.0059142,1
numerai28.6_OpenML,96320,21,1710463377.4203365,0,-22
numerai28.6_OpenML,96320,21,1710463377.4203365,1710463753.078755,1
spoken-arabic-digit_OpenML,263256,14,1710463754.4132257,0,-22
spoken-arabic-digit_OpenML,0,0,0,0,-23
