,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
4,20_newsgroups.drift_OpenML,399940,1000,1687137585,1687137611,1,26.0,2896.1703125,12564.32421875,3514.997265625,13006
7,30mlday_OpenML,300000,24,1687143512,1687143530,1,18.0,2629.5484375,8308.271484375,4709.077734375,10255
11,ACSIncome_OpenML,1664500,11,1687143855,1687144303,1,448.0,754.63671875,5667.8046875,865.19296875,5677
12,ACSPublicCoverage_OpenML,1138289,19,1687143637,1687143847,1,210.0,772.13515625,6252.40234375,852.845703125,6280
16,Airlines_DepDelay_1M_OpenML,1000000,11,1687147146,1687147308,1,162.0,589.637109375,5413.700390625,677.092578125,5414
18,Allstate_Claims_Severity_OpenML,188318,130,1687142364,1687142370,1,6.0,617.493359375,6659.08203125,842.7921875,6659
19,aloi_OpenML,108000,128,1687142136,1687142139,1,3.0,439.60498046875,5454.1669921875,516.468359375,6238
23,ATLAS-Higgs-Boson-Machine-Learning-Challenge-2014_OpenML,818238,30,1687152450,1687152558,1,108.0,605.5296875,2960.13671875,641.16953125,2960
24,autos_OpenML,1000000,25,1687152191,1687152351,1,160.0,827.08515625,7244.0546875,855.75390625,7245
30,BNG(2dplanes)_OpenML,177147,10,1687121422,1687121427,1,5.0,370.5728515625,4972.5140625,389.969921875,4972
31,BNG(adult)_OpenML,1000000,14,1687119189,1687119353,1,164.0,666.392578125,5699.53125,769.774609375,5699
32,BNG(Ailerons)_OpenML,1000000,40,1687122451,1687122610,1,159.0,852.56171875,7616.36328125,937.283203125,7632
33,BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,1687124574,1687124735,1,161.0,3363.440625,9262.6162109375,6516.066796875,12938
34,BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,1687124913,1687125072,1,159.0,948.678125,7148.594921875,1061.721875,7197
35,BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,1687124746,1687124904,1,158.0,1057.076171875,7224.873046875,1272.217578125,7357
36,BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,1687125591,1687125755,1,164.0,3968.378125,9961.964257812499,7109.93359375,13454
37,BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,1687125943,1687126104,1,161.0,3665.171484375,9580.881640625,7133.005859375,13300
38,BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,1687125764,1687125933,1,169.0,9812.03828125,16155.6828125,20682.043359375,29227
39,BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,1687125081,1687125242,1,161.0,3337.892578125,9137.91875,5910.6703125,12185
40,BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,1687125421,1687125581,1,160.0,1653.74375,7722.676171875,2480.270703125,8462
41,BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,1687125252,1687125412,1,160.0,3499.896875,9314.51796875,6962.9703125,13165
42,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1687099858,1687100218,1,360.0,50567.7265625,73582.3734375,57757.313671875,89914
43,BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,1687126113,1687126275,1,162.0,2310.93828125,8024.769140625,3839.66484375,9564
44,BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,1687126454,1687126613,1,159.0,999.4015625,7162.296875,1130.032421875,7229
45,BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,1687126285,1687126444,1,159.0,1160.4578125,7124.52421875,1407.2359375,7310
46,BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,1687127136,1687127306,1,170.0,8983.32578125,15897.47890625,17382.68359375,26348
47,BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,1687127487,1687127649,1,162.0,2362.340234375,8053.8779296875,3931.307421875,9767
48,BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,1687127316,1687127477,1,161.0,3421.2640625000004,9282.8490234375,5964.279296875,12673
49,BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,1687126622,1687126787,1,165.0,7388.1484375,13780.403125,14169.5578125,21961
50,BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,1687126966,1687127127,1,161.0,1686.69296875,7591.680078125,2484.50546875,8535
51,BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,1687126797,1687126957,1,160.0,2298.21640625,8030.466015625,3949.5125,9766
52,BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1687100279,1687101032,1,753.0,59876.403125,128918.453125,61003.419140625,134552
