Name,Time,Memory_Physical,Memory_Virtual
python,1685656908.4588192,460.592578125,41183.56875
python3.11,1685656918.534703,2698.34609375,39790.515625
python3.11,1685656928.614534,2851.455078125,40212.874609375
python3.11,1685656938.68893,3056.622265625,40385.818359375
python3.11,1685656948.765615,3217.844140625,40571.47265625
python3.11,1685656958.844016,3348.800390625,40657.97734375
python3.11,1685656968.914911,3263.059765625,40508.47734375
python3.11,1685656978.9966521,3229.688671875,40506.39765625
python3.11,1685656989.0748641,3595.914453125,40859.19609375
python3.11,1685656999.155196,3710.033984375,40828.53359375
python3.11,1685657009.23146,4989.89296875,42967.935546875
python3.11,1685657019.30175,6551.881640625,44845.2375
python3.11,1685657029.375509,7455.078125,46000.7375
python3.11,1685657039.478376,5539.333203125,44499.2453125
python3.11,1685657049.556301,6952.203515625,46858.3453125
python3.11,1685657059.6252,6871.697265625,46801.4453125
python3.11,1685657069.708412,5194.8515625,44259.9453125
python3.11,1685657079.7843351,8284.175,48611.9453125
python3.11,1685657089.862345,6166.2859375,45365.3453125
python3.11,1685657099.938224,5352.35859375,44541.5453125
python3.11,1685657110.010678,8008.39375,48253.5453125
python3.11,1685657120.088643,6423.995703125,46050.2453125
python3.11,1685657130.1644108,4573.895703125,43390.5453125
python3.11,1685657140.2471669,6815.326171875,46539.3453125
python3.11,1685657150.330847,9206.301953125,49817.95625
python3.11,1685657160.4114282,4873.198046875,43626.4890625
python3.11,1685657170.494786,4878.73984375,43723.3921875
python3.11,1685657180.561853,6882.238671875,46654.5921875
python3.11,1685657190.640051,8958.453515625,49380.9921875
python3.11,1685657200.7056708,6331.89609375,45754.2921875
python3.11,1685657210.7745721,4281.808203125,42828.3921875
python3.11,1685657220.858347,5798.599609375,45106.7921875
python3.11,1685657230.9281542,7603.26328125,47538.7921875
python3.11,1685657240.992165,9310.8109375,49932.3921875
python3.11,1685657251.0734432,6359.9921875,45824.3921875
python3.11,1685657261.153829,4484.541015625,42974.0796875
python3.11,1685657271.2311869,5598.388671875,44714.8796875
python3.11,1685657281.304517,7273.63046875,46954.8796875
python3.11,1685657291.384752,8959.30390625,49207.6796875
python3.11,1685657301.470916,8840.59921875,49205.9921875
python3.11,1685657311.56318,4843.0921875,43466.0984375
python3.11,1685657321.645049,5225.386328125,43992.3359375
python3.11,1685657331.7062862,6641.323046875,46001.9359375
python3.11,1685657341.785689,8176.64609375,48190.7359375
python3.11,1685657351.8708212,9670.36484375,50187.5359375
python3.11,1685657361.940694,8107.640234375,47849.2359375
python3.11,1685657372.017246,9006.978515625,47974.1359375
python3.11,1685657382.0853949,14929.36953125,54902.0359375
python3.11,1685657392.176219,9236.723046875,50803.3359375
python3.11,1685657402.257445,7280.266796875,46246.1359375
python3.11,1685657412.337141,11704.703515625,51033.3359375
python3.11,1685657422.407237,15373.0703125,55852.3359375
python3.11,1685657432.490965,7068.25078125,49812.3359375
python3.11,1685657442.5580301,5168.553515625,46796.5453125
python3.11,1685657452.64673,8518.68359375,50406.1671875
python3.11,1685657462.725458,11977.255078125,54092.5671875
python3.11,1685657472.804518,15453.72421875,58453.8671875
python3.11,1685657482.8911328,7350.39609375,49914.7671875
python3.11,1685657492.973473,4822.1453125,46078.7671875
python3.11,1685657503.052651,7518.98203125,49086.7671875
python3.11,1685657513.124963,10397.382421875,52120.3671875
python3.11,1685657523.2078831,13256.242578125,55166.7671875
python3.11,1685657533.284835,16040.353125,58836.8671875
python3.11,1685657543.366188,7641.475,50153.1671875
python3.11,1685657553.4527528,4461.859765625,45605.1671875
python3.11,1685657563.543812,6519.2625,48075.5671875
python3.11,1685657573.63283,8889.603515625,50571.5671875
python3.11,1685657583.7166562,11254.458203125,53067.5671875
python3.11,1685657593.803021,13543.571875,55601.9671875
python3.11,1685657603.891663,15959.08125,58760.0671875
python3.11,1685657613.972576,7674.90859375,49828.6671875
python3.11,1685657624.0533912,4688.03359375,45311.7671875
python3.11,1685657634.127456,6199.103515625,47295.7671875
python3.11,1685657644.2065148,8205.241796875,49343.7671875
python3.11,1685657654.285287,10215.0921875,51481.3671875
python3.11,1685657664.3601909,12221.99375,53721.3671875
python3.11,1685657674.441865,14214.589453125,55654.1671875
python3.11,1685657684.520019,16185.58671875,58117.9671875
python3.11,1685657694.594527,8939.630078125,51302.5671875
python3.11,1685657704.705471,4666.281640625,45147.7671875
python3.11,1685657714.8279831,5582.381640625,46271.7671875
python3.11,1685657724.9409332,7320.741796875,48230.1671875
python3.11,1685657735.0637171,9132.510546875,50073.3671875
python3.11,1685657745.1833951,10974.047265625,51993.3671875
python3.11,1685657755.278671,12753.82421875,53887.7671875
python3.11,1685657765.3811882,14571.789453125,55833.3671875
python3.11,1685657775.48706,16348.8421875,57484.5671875
python3.11,1685657785.594528,13583.884765625,56624.2671875
python3.11,1685657795.706347,5135.821875,45683.9671875
python3.11,1685657805.821887,5063.31875,45259.5671875
python3.11,1685657815.9452748,6072.515234375,46731.5671875
python3.11,1685657826.070585,7600.915234375,48395.5671875
python3.11,1685657836.191262,9148.47265625,50033.9671875
python3.11,1685657846.301266,10690.90859375,51659.5671875
python3.11,1685657856.41153,12220.223828125,53233.9671875
python3.11,1685657866.531698,13744.09375,54885.1671875
python3.11,1685657876.6285682,15248.035546875,56549.1671875
python3.11,1685657886.704194,16816.073046875,58334.5671875
python3.11,1685657896.8184772,8805.53828125,51053.8671875
python3.11,1685657906.945336,4795.57265625,45460.1671875
python3.11,1685657917.051571,4909.03359375,45400.3671875
python3.11,1685657927.16183,5982.308203125,46961.9671875
python3.11,1685657937.286309,7438.15,48446.7671875
python3.11,1685657947.385685,8911.565234375,49944.3671875
python3.11,1685657957.496918,10302.60625,51505.9671875
python3.11,1685657967.592913,11710.52578125,52952.3671875
python3.11,1685657977.688946,13109.10078125,54526.7671875
python3.11,1685657987.81156,14556.099609375,55921.9671875
python3.11,1685657997.928386,15971.305078125,57624.3671875
python3.11,1685658008.0229409,14370.5390625,57651.6671875
python3.11,1685658018.13255,5568.2140625,46299.2921875
python3.11,1685658028.220343,4612.411328125,45080.4921875
python3.11,1685658038.290148,5055.23359375,45784.4921875
python3.11,1685658048.369056,6101.089453125,46962.0921875
python3.11,1685658058.450149,7373.129296875,48510.8921875
python3.11,1685658068.5331619,8644.485546875,49765.2921875
python3.11,1685658078.610666,9914.109765625,51045.2921875
python3.11,1685658088.7008781,11201.95390625,52542.8921875
python3.11,1685658098.7870421,12514.60625,53835.6921875
python3.11,1685658108.852812,13836.075390625,55282.0921875
python3.11,1685658118.927903,15131.795703125,56574.8921875
python3.11,1685658129.001023,16337.71484375,57896.2921875
