Filename,F1_WD,Time_WD,F1_SS,Time_SS,F1_WO,Time_WO
ar1,0.115942029,637.9901769,0.020758093,4.659247875,0.078947368,165.318598
ar3,0.358974359,357.0570571,0.289546962,10.20880389,0.375,335.3338649
ar4,0.32,403.9797292,0,1.62263608,0,75.20087481
ar6,0.215384615,530.8454669,0.186127303,7.100232124,0.183908046,369.4813902
backache,0.243478261,620.5432479,0.237952012,5.872200966,0.211764706,201.0385497
churn,0.217648893,970.835618,0.18906988,2.14255619,0.159105034,56.24454689
climate-model-simulation-crashes,0.184126984,278.4828553,0.011103901,1.062526941,0.055555556,17.28238606
coil2000,0.12411283,340.6911528,0.124751161,1.560467243,0.110951009,20.51613617
dis,0.028806584,736.3840771,0.030547875,1.741425037,0.031109292,40.23988581
kc1,0.244927536,990.99388,0.140480197,11.868186,0.063263839,429.594733
kc3,0.161764706,386.1457548,0.107865067,5.2491889,0.271777003,42.65560293
lungcancer_GSE31210,0.324324324,195.067199,0.226124234,5.404706717,0.186915888,198.533102
mc1,0.016902516,360.4309711,0.014435182,2.735401869,0.014999148,50.88465381
mw1,0.146551724,395.3290939,0.073028662,3.915079832,0,132.898639
oil_spill,0.1021611,175.5928462,0.084129599,1.860545158,0.083844581,51.91690016
ozone-level-8hr,0.106442577,81.10877705,0.111364551,4.284313202,0.120122418,92.65788102
pc1,0.129952456,1130.616411,0.083889473,9.348975658,0.060504202,335.1511838
pc2,0.010615711,436.0349231,0.000697058,3.659789801,0.001150748,122.7056651
pc3,0.121019108,423.052865,0.069208997,3.002264023,0.044186047,93.21427584
pc4,0.180815877,405.4873319,0.14155206,9.648184776,0.22361809,203.6416221
spambase,0.403402187,587.6645651,0.465639189,8.965921879,0.39400346,333.4005039
synthetic_control,0.155,53.09126806,0.467624521,1.021856785,0.287769784,10.40494227
yeast_ml8,0.024057739,6.368155241,0.022910479,0.987794876,0.015117158,1.465005636
