Filename,Row,Columm,Mode,System,Time_2060,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
20_newsgroups.drift_OpenML,399940,1001,SS,2060,2982.578464,727.4581619,1425.817997,2480.923315,2709.054195,-0.003646373,2060,2982.578463792801,-0.0036463732313713,3070,1517.400343418121,0.0122990083370943,M2,845.9015238285065,0.0034150180102497,M2,1120.9964852333069,0.0116748224312433
2dplanes_OpenML,40768,10,SS,2060,21.51540589,5.247659974,10.28541355,17.89661958,19.54228574,0.073857492,2060,21.05135488510132,3.374543992081981e-07,3070,2.802015781402588,9.569224075163855e-10,M2,1.4890692234039309,4.756853110869724e-07,M2,4.8069329261779785,4.853096078573927e-07
ailerons_OpenML,13750,40,SS,2060,10.67782426,2.60434738,5.104520865,8.881866305,9.698589643,0.001680563,2060,10.67782425880432,0.0016805628742971,3070,3.0362818241119385,0.00183971216368,M2,1.55979323387146,0.0031253108262516,M2,4.540456056594849,0.0020525085054218
bank-marketing_OpenML,45211,16,SS,M2,28.05265458,6.842110872,13.41053731,23.33433492,25.48002089,0.009297247,M2,6.842110872268677,0.0092972467487132,3070,3.576512575149536,0.0354138269039535,M2,1.843523979187012,-0.0007532019689526,M2,8.830944061279297,-0.0458579094648113
BNG(2dplanes)_OpenML,177147,10,SS,M2,368.1451132,89.79149103,175.9913224,306.224901,334.3835126,2.3e-08,M2,89.79149103164673,2.2979805085585207e-08,3070,9.177993535995483,0.0,M2,5.717591047286987,7.525740588578148e-10,M2,11.896821022033691,5.44525070856805e-08
BNG(adult)_OpenML,1000000,14,SS,2060,721.8924525,176.0713299,345.0998066,600.4736635,655.6896325,-0.000810966,2060,721.8924524784088,-0.0008109663870305,3070,61.91420888900757,-0.0041263129438196,M2,46.80187392234802,-0.0029991601195381,M2,117.82550716400146,9.142431262968996e-05
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,3151.589911,768.6804662,1506.613714,2621.507862,2862.566056,0.006903237,M2,768.6804661750793,0.0069032368063706,3070,144.9362189769745,0.0204207631763176,M2,105.41974806785583,0.0161544640237067,M2,210.06213092803955,0.015336270676818
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,SS,M2,804.5335866,196.227704,384.6062998,669.2149617,730.7519697,-0.00230301,M2,196.2277040481568,-0.0023030097438597,3070,147.14233326911926,-0.0188182914034558,M2,107.30219221115112,-0.0163836590483538,M2,206.119725227356,-0.0150549217615089
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,SS,2060,723.1797569,176.3853066,345.7152009,601.5444496,656.8588818,-0.003189649,2060,723.1797568798065,-0.0031896488860141,3070,146.44679069519043,-0.0265450616330405,M2,107.45539927482604,-0.0232236156204016,M2,217.17464399337769,-0.0238576519726256
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,706.1358456,172.228255,337.5673798,587.3672409,641.3780216,0.018064744,M2,172.22825503349304,0.0180647443768973,3070,143.89739274978638,0.0176169864244872,M2,102.89909601211548,-0.0062346050993787,M2,283.19857692718506,-0.0055510588128566
