Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
poker,1025010,11,24127054,-1,-1,-1,0.001231466,1332.664884,0,0
mnist,70000,785,127868472,0,0,7200,0.233464422,138.4946566,0,0
shuttle,58000,10,2581809,0,0,7200,0.107204116,32.92062879,0,0
nursery,12958,9,233312,0,0,7200,0.002664375,7.087613344,0,0
pendigits,10992,17,891493,0,0,7200,0.479675598,6.783043385,0,0
volcanoes-b5,9989,4,233029,0,0,316.4466729,0.000121286,5.030731678,0,0
JapaneseVowels,9961,15,1386971,0,0,307.6539638,0.012575524,7.654550076,0,0
GesturePhaseSegmentationProcessed,9873,33,3556412,0,0,301.3649352,0.091221571,20.47172785,0,0
coil2000,9822,86,1698133,0.031159591,1.42E-05,298.7513418,0.000489352,14.74011636,0,0
delta_elevators,9517,7,348275,0,0,288.9852748,0.047415505,6.60351634,0,0
mc1,9466,39,1574745,0,0,278.1972866,0.009079856,15.85460567,0,0
USPS,9298,257,23719532,0.112904055,0.073804968,124.7490325,0.390684687,30.72190452,0,0
volcanoes-d3,9285,4,219552,0,0,276.7260435,0.000274302,5.430823803,0,0
volcanoes-d2,9172,4,217183,0,0,261.0427868,-5.50E-05,4.963646173,0,0
volcanoes-d1,8753,4,206729,0,0,237.571521,0.000317971,5.50629735,0,0
volcanoes-d4,8654,4,204406,0,0,236.9859381,-2.77E-05,4.65517211,0,0
visualizing_soil,8641,5,224916,0,0,237.0353882,0.030892266,4.109286785,0,0
puma8NH,8192,9,711098,0.03574953,0.002655654,55.87618899,0.013207413,8.233694553,0,0
puma32H,8192,33,2724113,0.054623955,0.00075353,104.5814703,0.004227183,9.641334772,0,0
kin8nm,8192,9,711614,0.018171931,0.002301713,68.85979414,0.005625851,6.815481901,0,0
cpu_small,8192,13,604442,0,0,215.2829263,0.036371195,4.775145769,0,0
cpu_act,8192,22,944682,0,0,217.8690448,0.032276587,5.165471315,0,0
bank8FM,8192,9,641779,0.082053541,0.011523326,79.54093885,0.057533201,6.406789303,0,0
bank32nh,8192,33,2551757,0,0,214.9673579,0.052624418,12.41571093,0,0
573_cpu_act,8192,22,1782623,0,0,218.9166465,0.000483924,6.615081072,0,0
562_cpu_small,8192,13,908177,0,0,222.7485547,0.001841627,4.837893248,0,0
227_cpu_small,8192,13,908177,0,0,222.6177356,0.002094655,7.141342878,0,0
225_puma8NH,8192,9,1441380,0.037333131,0,89.35209608,0,7.226905584,0,0
197_cpu_act,8192,22,1782623,0,0,219.0739269,0.000975698,4.663977861,0,0
agaricus_lepiota,8145,23,376261,0,0,211.7852662,0.059138858,8.428188086,0,0
mushroom,8124,22,700245,0,0,219.4880488,0.067138116,7.262630224,0,0
delta_ailerons,7129,6,300723,0.150644689,0.017400138,73.36575723,0.113657127,4.494726419,0,0
musk,6598,168,6659707,0,0,141.1044619,0.002917747,14.29992032,0,0
clean2,6598,169,6704443,0,0,139.7556837,0.011709951,12.1936965,0,0
wind,6574,15,491576,0.028147884,0.00482808,47.4510088,0.06035583,9.02674365,0,0
294_satellite_image,6435,37,1239015,0.183762108,0.094524136,39.70284939,0.385071223,6.9812181,0,0
satimage,6430,37,2461827,0.174078908,0.096989396,42.22678065,0.413746277,6.812424898,0,0
first-order-theorem-proving,6118,52,3000537,0,0,123.0836031,0.024607174,11.87206054,0,0
philippine,5832,309,16112750,0.019876729,0.001123033,38.17868996,0.015001859,25.60409999,0,0
BachChoralHarmony,5665,17,392291,0.127005958,0.010775108,99.5063386,0.003563519,3.950601101,0,0
pc2,5589,37,882894,0,0,103.7999511,0.002274016,10.59437966,0,0
page_blocks,5473,11,330877,0,0,98.22518754,-0.019575418,5.642819643,0,0
page-blocks,5473,11,330877,0,0,97.56939387,-0.01833439,5.409952402,0,0
wall-robot-navigation,5456,3,99358,0,0,97.59907269,0.284131077,3.826400518,0,0
phoneme,5404,6,310250,0.164154367,0.006718734,29.21507382,0.039958609,3.70023489,0,0
waveform_40,5000,41,1058237,0.034861707,0.022323149,18.13213968,0.184246102,5.089015484,0,0
waveform_21,5000,22,545157,0.036954653,0.018325684,25.4227283,0.215488344,4.217042923,0,0
waveform-5000,5000,41,1058228,0,0,83.19229817,0.013173325,6.910409212,0,0
wine_quality_white,4898,12,321103,0.118569463,0.0029593,63.6779778,0.009026105,3.63431406,0,0
wine-quality-white,4898,12,296931,-0.000193963,0.002946307,73.98093271,0.002916819,3.714689016,0,0
wilt,4839,6,247952,0.000679016,0.000470832,49.12397242,-0.028643564,2.419929266,0,0
jungle_chess_2pcs_endgame_panther_lion,4704,47,884813,0.078464151,0.009981986,21.82162094,0.081693874,6.771385193,0,0
jungle_chess_2pcs_endgame_panther_elephant,4704,47,886685,0.065297001,0.009880861,18.89551377,0.039412859,5.648107052,0,0
jungle_chess_2pcs_endgame_lion_elephant,4704,47,884813,0.072708775,0.016929442,23.45649695,0.114769876,7.381980419,0,0
spambase,4601,58,1144029,0,0,69.41120815,0.097686245,7.994460106,0,0
bank-marketing,4521,17,329454,0,0,66.40296626,0.029129969,4.836548567,0,0
hiva_agnostic,4229,1618,27375080,0.016138874,0.000202133,29.51635098,0.005151284,65.92862225,0,0
ada,4147,49,837141,0,0,56.95168471,0.017410916,6.179232597,0,0
pollen,3848,6,156109,0,0,48.29117012,-0.00027797,3.439159632,0,0
529_pollen,3848,5,365598,0.014179799,7.43E-06,17.49917674,-6.82E-06,4.290632963,0,0
thyroid-ann,3772,22,389672,0,0,46.10721087,-0.003889158,4.680535793,0,0
dis,3772,30,472880,0,0,46.20385146,-0.000966226,3.930194855,0,0
allbp,3772,30,472880,0,0,47.08950448,0.005829417,3.816194057,0,0
allhyper,3771,30,254035,1,0,46.39588857,0,3.440032005,0,0
allhypo,3770,30,253967,0,0,45.80720234,0.014122305,3.345981121,0,0
Bioresponse,3751,1777,29983661,0,0,48.98099208,0.003452176,58.18888164,0,0
Speech,3686,401,13798013,0,-0.000174961,15.89350605,0,21.16937065,0,0
gina_agnostic,3468,971,15251303,0,0,41.55531502,0.014635576,35.48164463,0,0
Internet-Advertisements,3279,1559,20478198,0,0,38.34003711,0.059963986,37.58140635,0,0
volcanoes-a1,3252,4,76314,0,0,34.7029171,0.002146742,3.160979986,0,0
kr_vs_kp,3196,37,236646,0.011389546,0.004360168,9.785125732,0.010599536,5.007880211,0,0
chess,3196,37,236655,0,0,33.97384071,0.013850051,4.453156948,0,0
splice,3190,61,772758,0,0,33.37276816,0.032360734,13.21969891,0,0
dna,3186,181,2301089,0.000863273,0.013390925,21.85705662,0.007240748,37.50237679,0,0
space_ga,3107,7,207178,0,0,32.57851148,0.011947807,2.65144372,0,0
ozone-level-8hr,2534,73,953450,0.130897218,-0.00122777,5.41489768,-0.007173159,4.373987436,0,0
yeast_ml8,2417,117,2799572,0.040609569,-3.96E-05,4.667887211,0.000149226,7.05138135,0,0
scene,2407,300,7215387,0.047927627,0.006151036,6.538964987,-0.030713393,11.32205176,0,0
jungle_chess_2pcs_endgame_lion_lion,2352,47,442190,0.068859328,0.007701796,6.005780935,0.036833586,3.367469072,0,0
jungle_chess_2pcs_endgame_elephant_elephant,2351,47,443806,0.082143324,0.007330825,5.386468649,0.029934982,3.013043642,0,0
segmentation,2310,20,413130,0,0,17.16070199,0.002524062,1.810558081,0,0
segment,2310,20,336255,0,0,17.25378847,0.311814276,2.866136074,0,0
cardiotocography,2126,36,349809,0.262221982,0.00862797,5.428653479,0.006904474,2.160741568,0,0
kc1,2109,22,209046,0,0,13.65631962,0.216685741,4.597402811,0,0
balloon,2001,2,13617,0,0,12.04327154,0.016486672,1.63648963,0,0
steel-plates-fault,1941,34,385238,0,0,11.31385136,-0.012330711,3.037521124,0,0
car_evaluation,1728,22,76372,0.007083064,0.003632357,5.170405149,0.018492495,2.856479406,0,0
car,1728,7,44978,0.030228188,0.006750146,3.099510193,0.013532518,2.650513649,0,0
volcanoes-a2,1623,4,38056,0,0,7.116341114,0.001209171,2.631728411,0,0
wine_quality_red,1599,12,100950,0.018088793,-0.000183095,2.410254717,0.010714316,2.37852478,0,0
wine-quality-red,1599,12,94973,0.019410658,0.000793609,3.381139517,-0.014544592,2.037332296,0,0
one-hundred-plants-texture,1599,65,798729,0.002571133,0.315036275,1.624778986,0.000838981,3.821162462,0,0
semeion,1593,257,1635597,0.000639606,0.095708716,1.879175663,0.00711671,7.368603945,0,0
OVA_Uterus,1545,10936,111653679,0.038496516,0.0006668,15.78013468,-0.012154104,165.4718149,0,0
OVA_Prostate,1545,10936,111653679,0.03625451,0.002675528,16.10045481,0.025365522,177.104917,0,0
OVA_Ovary,1545,10936,111653679,0.038648034,0.001869574,15.57897329,0.001557641,167.3479917,0,0
OVA_Omentum,1545,10936,111653679,0.042444704,-1.95E-05,15.63026285,-0.005925387,169.7512097,0,0
OVA_Lung,1545,10936,111653679,0.037451134,0.002828837,15.83662963,-0.000207751,170.5636487,0,0
OVA_Kidney,1545,10936,111653679,0.038272353,0.010321817,15.49431682,0.094612286,163.1799564,0,0
