Filename,Time,ARI
BNG(SPECT)_OpenML,107.4957769,0.182106216
BNG(segment)_OpenML,118.4314964,0.080078491
BNG(spect_test)_OpenML,107.8472037,0.077382286
RandomRBF_0_0_OpenML,93.33905745,0.061967396
RandomRBF_10_1E-4_OpenML,93.66790175,0.054594477
RandomRBF_10_1E-3_OpenML,92.87503433,0.050208096
BNG(vote)_OpenML,9.054167032,0.042175736
BNG(primary-tumor)_OpenML,88.74443078,0.011209871
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,94.33032131,0.010588525
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,82.0761137,0.007997486
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,77.34223294,0.005773154
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,83.15084529,0.001492564
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,182.6493623,0.000725503
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,146.3256848,0.000652123
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,178.7643564,0.000460559
BNG(Australian)_OpenML,97.06171465,0.000279847
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,181.158097,0.000224327
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,81.64719939,0.00021851
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,180.8564086,0.000125601
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,181.1948452,0.000117887
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,85.94271779,1.38E-05
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,176.859576,1.08E-05
numerai28.6_OpenML,13.10611415,7.62E-06
Hyperplane_10_1E-3_OpenML,82.06621957,5.75E-07
Hyperplane_10_1E-4_OpenML,82.32146645,5.63E-07
spoken-arabic-digit_OpenML,21.77171659,1.65E-07
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,166.4265888,0
BNG(trains)_OpenML,147.260505,0
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,212.6784117,-1.71E-07
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,168.3265173,-5.49E-06
BNG(kr-vs-kp)_OpenML,167.2921221,-6.38E-06
fried_OpenML,2.444004059,-6.43E-06
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,170.1109281,-1.64E-05
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,168.2140121,-1.99E-05
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,168.6409087,-4.24E-05
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,169.5532792,-4.80E-05
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,170.2513549,-5.71E-05
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,171.874629,-7.07E-05
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,177.9032781,-0.000103938
RandomRBF_50_1E-4_OpenML,92.75433731,-0.000131718
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,168.0937543,-0.000194216
BNG(labor)_OpenML,86.04992962,-0.000570634
RandomRBF_50_1E-3_OpenML,90.13613367,-0.001109612
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,182.4228878,-0.001194326
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,179.1434786,-0.001499936
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,179.4040935,-0.001544752
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,74.27694464,-0.001694162
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,179.2252333,-0.001925356
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,177.5787888,-0.00194293
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,63.82415462,-0.002577164
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,64.76594353,-0.003162099
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,146.4952297,-0.005389866
BNG(anneal)_OpenML,178.0704265,-0.006033751
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,178.5776186,-0.008374066
BNG(zoo)_OpenML,90.08625102,-0.009673119
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,177.2340758,-0.010905777
BNG(anneal.ORIG)_OpenML,182.3152165,-0.015575531
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,75.91892958,-0.032254403
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,170.2142606,-0.061192283
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,187.9307222,-0.095136076
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,97.12899828,-0.09892092
