Filename,Row,Column,Time,ARI,BatchCount,BatchSize
BNG(2dplanes)_OpenML,177147,10,16.63166289329529,4.190780308490772e-08,885,200
BNG(2dplanes)_OpenML,177147,10,14.53843421936035,5.030264438929057e-08,590,300
BNG(2dplanes)_OpenML,177147,10,13.051464700698853,5.233402742145575e-08,442,400
BNG(2dplanes)_OpenML,177147,10,12.417772102355958,5.3103214982443933e-08,354,500
BNG(2dplanes)_OpenML,177147,10,12.20862455368042,5.3108691209872245e-08,295,600
BNG(2dplanes)_OpenML,177147,10,11.518962812423705,5.330162083701971e-08,253,700
BNG(2dplanes)_OpenML,177147,10,11.461707305908202,5.46274982099782e-08,221,800
BNG(2dplanes)_OpenML,177147,10,11.776198720932006,5.212858947811595e-08,196,900
BNG(2dplanes)_OpenML,177147,10,11.779011249542236,3.7492023429357236e-08,177,1000
BNG(2dplanes)_OpenML,177147,10,11.962433004379273,5.414680604585888e-08,161,1100
BNG(2dplanes)_OpenML,177147,10,12.162027835845947,4.7337797821247876e-08,147,1200
BNG(2dplanes)_OpenML,177147,10,11.811388301849366,3.2313384181612536e-08,136,1300
BNG(2dplanes)_OpenML,177147,10,11.973585033416748,5.2265871820496485e-08,126,1400
BNG(2dplanes)_OpenML,177147,10,12.117505741119384,5.4314058566346224e-08,118,1500
