Filename,max,min,mean,std
BNG(cmc_COMMA_nominal_COMMA_55296)_OpenML,-0.9531371,-14142136000.0,-373048060.0,1437110700.0
BNG(cmc)_OpenML,-0.7982811,-18.747362,-1.1466743,0.3949028
mnist_784_OpenML,-0.9226675,-3.901795,-1.0674256,0.102060355
BNG(stock)_OpenML,-0.9091102,-2.562316,-1.0947155,0.116892494
BNG(mv)_OpenML,-0.8942218,-2.829722,-1.0358541,0.071248196
numerai28.6_OpenML,-0.8883994,-2.0748715,-1.0538667,0.075053744
connect-4_OpenML,-0.969398,-1.4142135,-1.0001662,0.0061127394
shuttle_OpenML,-0.79427165,-14.575732,-1.0861769,0.21446751
Devnagari-Script_OpenML,-0.92401344,-2.6413994,-1.0614055,0.081909224
CIFAR_10_OpenML,-0.9339179,-2.9069371,-1.4346801,0.24452437
Fashion-MNIST_OpenML,-0.9307817,-3.10444,-1.1444803,0.17812334
mnist_rotation_OpenML,-0.93268776,-3.4228637,-1.1833441,0.2299818
SVHN_OpenML,-0.9389888,-3.4195704,-1.3265917,0.25751862
volkert_OpenML,-0.8580328,-12.082235,-1.0813622,0.15429226
jannis_OpenML,-0.9212327,-1.9862007,-1.0533789,0.0648675
helena_OpenML,-0.8899948,-4.0204954,-1.0834401,0.12880431
Kuzushiji-MNIST_OpenML,-0.9364381,-2.1350574,-1.0780994,0.093946934
CIFAR-100_OpenML,-0.94210625,-3.89833,-1.4387803,0.2732337
GTSRB-HOG01_OpenML,-0.9389059,-2.7638352,-1.074328,0.10243898
GTSRB-HOG02_OpenML,-0.91398287,-6.054305,-1.0758288,0.119498424
GTSRB-HOG03_OpenML,-0.9320315,-2.590591,-1.0705572,0.09437237
GTSRB-HueHist_OpenML,-0.89077795,-4.416799,-1.0754352,0.11615948
diamonds_OpenML,-0.8158349,-23.540321,-1.162693,0.3951899
Medical-Appointment_OpenML,-0.88329613,-2.6548676,-1.0495526,0.08620217
MiniBooNE_OpenML,-0.88858974,-248298.25,-4.4819856,918.9956
diamonds_OpenML,-0.8158349,-23.540321,-1.162693,0.3951899
diamonds_OpenML,-0.8158349,-23.540321,-1.162693,0.3951899
mobile_churn_OpenML,-0.83074504,-446.3374,-1.2406967,2.7073512
video_transcoding_OpenML,-0.76796234,-4.681715e+17,-17904781000000.0,2421591400000000.0
wave_energy_OpenML,-0.8454814,-7978.875,-6.304827,130.62097
albert_OpenML,-0.89525926,-14.203192,-1.1430115,0.20792384
kick_OpenML,-0.8515301,-28.586761,-1.1202571,0.39790642
Cardiovascular-Disease-dataset_OpenML,-0.88041866,-36.75758,-1.1430433,0.38364556
Otto-Group-Product-Classification-Challenge_OpenML,-0.8692274,-6.999784,-1.2068522,0.23674238
