Filename,Row,Columm,Mode,System,Time,ARI
20_newsgroups.drift_OpenML,399940,1000,Default,Louise,807.934244632721,-5.249393003055156e-07
2dplanes_OpenML,40768,10,Default,Louise,0.7710883617401123,-9.313603564293882e-10
Ailerons_OpenML,13750,40,Default,Louise,0.2632451057434082,0.0
BNG(2dplanes)_OpenML,177147,10,Default,Louise,10.604640245437622,5.269864937079088e-09
BNG(Ailerons)_OpenML,1000000,40,Default,Louise,473.00208616256714,0.0
BNG(Australian)_OpenML,1000000,14,Default,Louise,318.4858367443085,0.046508811782690354
BNG(JapaneseVowels)_OpenML,1000000,14,Default,Louise,254.13604617118835,0.006778083897712476
BNG(SPECT)_OpenML,1000000,22,Default,Louise,482.97920989990234,0.010957424067135929
BNG(SPECTF)_OpenML,1000000,44,Default,Louise,380.8842673301697,0.0
BNG(adult)_OpenML,1000000,14,Default,Louise,256.39131808280945,0.0
BNG(anneal)_OpenML,1000000,38,Default,Louise,362.7719705104828,-0.1394015854739942
BNG(anneal.ORIG)_OpenML,1000000,38,Default,Louise,373.92706656455994,-0.11226758833357377
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,Default,Louise,371.96291494369507,-0.1267761301592904
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,Default,Louise,366.8331551551819,-0.05070322523130227
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,Default,Louise,365.6759171485901,-0.09227147309936928
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,Default,Louise,367.76928520202637,-0.048454202942016036
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,Default,Louise,371.69494581222534,-0.006555399868484973
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,Default,Louise,367.3550977706909,-0.013463159156959826
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,Default,Louise,367.16030764579773,-0.12451812550988481
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,Default,Louise,366.3472216129303,-0.03881660309481707
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,Default,Louise,371.3340332508087,-0.04895257413115784
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,Louise,815.7959706783295,-0.007341030250619564
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,Default,Louise,370.934228181839,-0.08509110412708125
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,Default,Louise,368.42740392684937,-0.03295894292111528
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,Default,Louise,370.18072962760925,-0.06023126401127274
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,Default,Louise,369.137912273407,-0.031143458234576562
