Filename,Unique,Outliers
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,13504,301687
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,8643,101357
BNG(kr-vs-kp)_OpenML,23498,208438
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,26129,202612
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,13159,140201
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,7201,902553
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,34467,387942
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,14704,884188
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,7952,943394
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,5096,910642
BNG(mushroom)_OpenML,10160,222131
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1,1000000
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,10310,886231
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,15733,75141
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,9377,928200
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,14290,144416
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1,1000000
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1611,987713
BNG(segment)_OpenML,4655,46845
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,9,999954
BNG(soybean)_OpenML,16160,672371
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,22415,93707
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,9256,31927
BNG(trains)_OpenML,3100,969600
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,20445,80416
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,12175,161655
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,24802,159689
BNG(vote)_OpenML,3108,14981
BNG(ionosphere)_OpenML,6288,709871
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,3,999989
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,25007,275887
Hyperplane_10_1E-3_OpenML,1,0
Hyperplane_10_1E-4_OpenML,1,0
LED(50000)_OpenML,1279,992180
pokerhand_OpenML,1,829201
RandomRBF_50_1E-3_OpenML,15,74078
RandomRBF_50_1E-4_OpenML,19,75131
covertype_OpenML,15,110323
