Filename,Row,Columm,Mode,System,Time,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI
letter_OpenML,20000,16,SS,3070,2.301062584,1.631959279,2.766032677,5.264384772,6.276766459,0.001355178
pendigits_OpenML,10992,16,SS,3070,1.90201211,1.358580079,2.342379446,4.245562746,5.031778069,0.026015078
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,3070,138.7110887,99.79215014,163.5936888,332.6405005,356.4005362,0.374559954
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,3070,135.6888061,96.23319582,163.1071116,310.4296639,370.1276762,0.081685851
BNG(kr-vs-kp)_OpenML,1000000,36,SS,3070,141.5096858,101.078347,174.2730121,315.8698344,374.3642481,0.002579322
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,3070,63.93609452,45.9971903,75.40523,153.3239677,164.2756797,0.122048237
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,3070,63.62021875,45.12072252,76.47580088,145.5507178,173.5412405,0.000206422
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,SS,3070,94.87928462,67.77091759,116.8464096,211.7841175,251.0033985,0.008493595
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,3070,70.5153327,50.73045518,83.16468062,169.1015173,181.1801971,0.10172308
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,3070,272.0934832,192.9741016,327.0747484,622.4971018,742.2080829,0.003305724
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,3070,235.5206521,168.2290372,290.0500642,525.7157413,623.0705082,0
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,3070,49.25313091,35.43390713,58.08837234,118.1130238,126.5496683,0
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,3070,49.81690621,35.33113916,59.88328671,113.9714166,135.8889968,0
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,3070,171.724489,122.6603493,211.4833608,383.3135915,454.2975899,0.030105774
BNG(mushroom)_OpenML,1000000,22,SS,3070,84.65453529,60.90254337,99.84023504,203.0084779,217.5090835,0.009242869
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,SS,3070,103.8552015,73.65617128,124.8409683,237.6005525,283.2929664,5.60E-05
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,3070,85.57592392,61.12565994,105.3890689,191.0176873,226.3913331,0.002684071
BNG(optdigits)_OpenML,1000000,64,SS,3070,221.4283884,159.3009988,261.1491784,531.0033295,568.9321387,8.52E-05
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,SS,3070,58.45808864,41.45963733,70.27057175,133.7407656,159.4601436,-0.006253398
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,SS,3070,12.46929765,8.906641179,15.35627789,27.83325368,32.98755992,0.119709681
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,SS,3070,75.11846924,54.0420642,88.59354787,180.140214,193.0073721,0.002164927
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,3070,65.29140639,46.30596198,78.48468132,149.3740709,178.0998538,0.006220216
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,SS,3070,143.9078295,102.7913068,177.226391,321.2228337,380.7085437,0
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,SS,3070,119.3062427,85.83182928,140.7079169,286.1060976,306.5422474,0.222447795
BNG(segment)_OpenML,1000000,19,SS,3070,72.20614004,51.2100284,86.7966583,165.19364,196.9616477,0.206347928
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,3070,99.53721356,71.09800969,122.5827753,222.1812803,263.3259618,-0.000823631
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,SS,3070,220.0293837,158.2945206,259.4992142,527.6484022,565.3375737,-0.000789495
BNG(soybean)_OpenML,1000000,35,SS,3070,125.6796317,89.13449057,151.0754077,287.5306147,342.8249637,0.05450895
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,3070,53.23927546,38.0280539,65.56561017,118.8376684,140.8446441,0.041685268
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,3070,53.31633091,38.3570726,62.88044688,127.8569087,136.989545,0.056039069
BNG(trains)_OpenML,1000000,32,SS,3070,114.2389212,81.02051149,137.3229008,261.3564887,311.6173519,0
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,3070,53.40783262,38.14845187,65.77319288,119.2139121,141.2905625,0.013898843
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,3070,68.81473494,49.50700355,81.15902222,165.0233452,176.810727,0.034856279
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,SS,3070,72.91609073,51.71353952,87.65006699,166.8178694,198.8982289,0.219157686
BNG(vote)_OpenML,131072,16,SS,3070,7.822138548,5.58724182,9.633175552,17.46013069,20.69348822,0.129838249
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,3070,100.0253196,71.96066158,117.9682977,239.8688719,257.0023628,0.037947079
BNG(ionosphere)_OpenML,1000000,34,SS,3070,127.8505876,90.6741756,153.6850434,292.4973407,348.7468292,0.217265856
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,SS,3070,151.8241994,108.4458567,186.975615,338.8933022,401.6513212,0
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,SS,3070,64.04346466,46.07443501,75.53186067,153.58145,164.5515536,0
CovPokElec_OpenML,1455525,72,SS,3070,418.7592216,296.9923557,503.3768741,958.0398572,1142.278291,0
covertype_OpenML,581012,54,SS,3070,109.6814632,78.34390229,135.0756936,244.8246946,290.1626011,-0.01381492
Hyperplane_10_1E-3_OpenML,1000000,10,SS,3070,65.31648731,46.99027864,77.03324367,156.6342621,167.8224237,0
Hyperplane_10_1E-4_OpenML,1000000,10,SS,3070,65.02579904,46.11758797,78.16540334,148.7664128,177.3753384,0
LED(50000)_OpenML,1000000,24,SS,3070,90.07752585,64.34108989,110.9329136,201.0659059,238.3003329,0.007468655
pokerhand_OpenML,829201,10,SS,3070,36.12894273,25.99204513,42.60991005,86.64015043,92.82873261,0.000583068
RandomRBF_0_0_OpenML,1000000,10,SS,3070,69.12070274,49.02177499,83.08775423,158.134758,188.5452884,0
RandomRBF_10_1E-3_OpenML,1000000,10,SS,3070,68.19162369,48.70830264,83.97983213,152.2134457,180.4011209,-1.66E-05
RandomRBF_10_1E-4_OpenML,1000000,10,SS,3070,68.66487122,49.39918793,80.98227529,164.6639598,176.4256712,-7.81E-06
RandomRBF_50_1E-3_OpenML,1000000,10,SS,3070,68.91604471,48.87662745,82.84174145,157.6665402,187.9870287,-3.21E-06
RandomRBF_50_1E-4_OpenML,1000000,10,SS,3070,68.45353746,48.8953839,84.30238603,152.7980747,181.0940144,2.14E-05
covertype_OpenML,110393,54,SS,3070,17.34606767,12.47918537,20.45768094,41.59728458,44.56851919,-0.037562365
pol_OpenML,15000,48,SS,3070,3.234930754,2.29427713,3.888605306,7.400893969,8.82414281,-0.114041341
2dplanes_OpenML,40768,10,SS,3070,2.802015781,2.001439844,3.450758351,6.254499511,7.412740161,9.57E-10
elevators_OpenML,16599,18,SS,3070,2.350110531,1.690727001,2.771683608,5.635756669,6.038310717,-0.005551666
BNG(anneal)_OpenML,1000000,38,SS,3070,139.5028172,98.93816823,167.6918106,319.1553814,380.5314163,0.047967613
BNG(anneal.ORIG)_OpenML,1000000,38,SS,3070,138.109586,98.64970429,170.085697,308.2803259,365.3692751,0.007514041
BNG(labor)_OpenML,1000000,16,SS,3070,74.1067009,53.31417331,87.40028411,177.713911,190.4077618,-0.016743539
BNG(letter)_OpenML,1000000,16,SS,3070,90.16744494,63.94854251,108.3873602,206.285621,245.9559327,-4.57E-07
BNG(autos)_OpenML,1000000,25,SS,3070,143.6704831,102.6217736,176.9340925,320.6930426,380.0806431,0.00508549
BNG(lymph)_OpenML,1000000,18,SS,3070,71.72830224,51.60309514,84.59523793,172.0103171,184.2967683,0.116532324
