Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
zoo,101,17,6790,0.3056291273793128,0.28347254157846546,0.790045976638794,0.0649874093227304,0.6403210163116455,0,0
yeast_ml8,2417,117,2799572,0.01705661625513592,-0.001462752684570287,1.0739669799804688,0.033089703471536155,1.982362985610962,0,0
yeast,1484,9,58603,0.13894982265172515,0.009846170723866631,0.7969930171966553,0.0003460280241512956,0.9001607894897461,0,0
xd6,973,10,37089,0.005922428157907089,0.0003331186335325968,0.7922718524932861,-0.0022082774962910575,0.4123821258544922,0,0
witmer_census_1980,50,5,1242,0.0,0.00274671375318815,0.8021481037139893,0.0,0.3346719741821289,0,0
wisconsin,194,33,46416,0.6296386006682445,0.009543150503032812,0.7845520973205566,-0.0049113319922630795,0.565284252166748,0,0
wine_recognition,178,14,11431,0.7247445819091577,0.40359634290805635,0.8088271617889404,0.32527531414212146,0.5870399475097656,0,0
wine_quality_white,4898,12,321103,0.010358658890620315,0.018637661684893603,0.9253301620483398,0.017015580072145597,0.7808411121368408,0,0
wine_quality_red,1599,12,100950,0.14464966368124668,0.022402476284619218,0.8309910297393799,-0.004264776975002879,1.4932339191436768,0,0
wine-quality-white,4898,12,296931,0.010489593356965473,0.018632075563717515,0.8460710048675537,0.017139524556300887,0.6707179546356201,0,0
wine-quality-red,1599,12,94973,0.05356099338512233,0.02019086127106896,0.8411998748779297,0.0021198788584116334,0.6306459903717041,0,0
wine,178,14,12261,0.23855664481391287,0.10599887328903825,0.7797799110412598,0.059457281502373734,0.4294750690460205,0,0
wind_correlations,45,47,16153,0.0,-0.012492680070271326,0.8010661602020264,0.0,0.2995779514312744,0,0
wind,6574,15,491576,0.24217237588777307,0.10655154451382078,0.9125571250915527,0.3551472219975801,1.6712658405303955,0,0
wilt,4839,6,247952,-0.04788162090536938,0.21801255309510179,0.8254721164703369,-0.02812551811037902,1.1018152236938477,0,0
wdbc,569,31,132653,0.5761318695585583,0.8152341253848562,0.8300111293792725,0.5315367634142862,0.5518510341644287,0,0
wall-robot-navigation,5456,3,99358,0.012158222115800952,0.09767172182463292,0.8325638771057129,-0.00010439361521942097,0.5808067321777344,0,0
vowel,990,13,89442,0.7806550749615505,0.0018133364120267988,0.8359119892120361,-0.00030587167592784574,0.4553380012512207,0,0
volcanoes-e5,1112,4,26293,0.011305786519895628,-0.0019991370655329877,0.7964053153991699,-0.01701622347964279,0.3495919704437256,0,0
volcanoes-e4,1252,4,29554,0.0005173269633469525,-0.0037405540334173788,0.8029968738555908,0.039669393231212144,0.37264108657836914,0,0
volcanoes-e3,1277,4,29903,0.0006113796338013436,5.222858801254014e-05,0.8076586723327637,0.004895998451482485,0.5858099460601807,0,0
volcanoes-e1,1183,4,27829,0.035741631330256256,-0.0022019179002496945,0.7965543270111084,0.00196490331194682,1.8241159915924072,0,0
volcanoes-d4,8654,4,204406,0.14070372025729777,1.8073648500401028e-05,0.8183577060699463,0.004001567827749283,0.7086749076843262,0,0
volcanoes-d3,9285,4,219552,0.16670494974948358,7.668733623400515e-05,0.817371129989624,-1.2557728231607797e-05,0.7953898906707764,0,0
volcanoes-d2,9172,4,217183,0.00016380064496474692,4.877451572510692e-05,0.8245291709899902,0.027801665843744165,0.9420921802520752,0,0
