Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
yeast_ml8,2417,117,2799572,0.09638405386939221,-0.008903864016521493,1.5756490230560303,-0.006003588032883078,5.332248210906982,-0.006428846986734948,1.8724758625030518
yeast,1484,9,58603,0.12349805034845468,0.08295453723814586,0.9451711177825928,0.0936263958602548,0.7107470035552979,0.13908509566221192,0.8862452507019043
wine_quality_white,4898,12,321103,0.056044386057946455,0.024071360462833275,1.1678311824798584,0.012164112635168953,1.23740816116333,0.016051400236230605,1.0175230503082275
wine_quality_red,1599,12,100950,0.25931308187504065,0.02324252270853034,0.9680740833282471,2.8154360170634486e-05,0.5509970188140869,0.0076248058329779055,0.9335248470306396
wine-quality-white,4898,12,296931,0.07167854923605467,0.03905798874593228,1.1245508193969727,0.013231358906709768,1.2760930061340332,0.014757360200808992,0.9462239742279053
wine-quality-red,1599,12,94973,0.2256395907949263,0.026933503250532207,0.9381809234619141,-0.004735212989953337,1.4267287254333496,0.043119781755434884,0.8895339965820312
wind,6574,15,491576,0.245902568779975,0.10822625075826676,1.0063040256500244,0.35406162798787816,0.8880410194396973,0.35515974776227993,0.8856041431427002
wilt,4839,6,247952,0.017895783891517796,0.21801763225713616,0.8910961151123047,-0.0014708860687222985,0.703545093536377,0.003909936246628023,0.8957958221435547
waveform_40,5000,41,1058237,0.8331307605096115,0.25343683272473233,1.0320332050323486,0.25446954586100357,1.3890690803527832,0.2547066520225914,1.0499930381774902
waveform_21,5000,22,545157,0.6603775974562169,0.2542969113437308,0.9453639984130859,0.21581362140616786,0.8262450695037842,0.25604811742819406,0.9071009159088135
waveform-5000,5000,41,1058228,0.8351091373986808,0.2542998771510055,1.0621490478515625,0.25366840365535,1.447443962097168,0.2555019913926464,1.0431439876556396
wall-robot-navigation,5456,3,99358,0.7246449784324771,0.48845751741831844,0.9750328063964844,0.37419941847280197,0.6390666961669922,0.3664019153444451,0.9657852649688721
volcanoes-e5,1112,4,26293,0.15473860717391383,0.046695609039401176,0.9059422016143799,-0.0019627526627933375,0.6125082969665527,-0.0016159138170254762,0.8735001087188721
volcanoes-e4,1252,4,29554,0.19796806032353387,0.0404330548770852,0.902961015701294,-0.0034486276255678108,0.7415239810943604,-0.0005396639488699383,0.8979346752166748
