Filename,Row,Columm,Mode,System,Time,ARI
Fashion-MNIST_OpenML,70000,784,SS,Thelma,225.93022966384888,0.10463714621728545
EMNIST_Balanced_OpenML,131600,784,SS,Thelma,434.511691570282,0.011186647478385294
mnist_rotation_OpenML,62000,784,SS,Thelma,263.98834443092346,0.00020375930055963604
SVHN_OpenML,99289,3072,SS,Thelma,1536.93066740036,-0.00011861877166266172
MiniBooNE_OpenML,130064,50,SS,Thelma,43.47445607185364,0.17381796667959923
volkert_OpenML,58310,180,SS,Thelma,56.28155970573425,0.0746199692403994
jannis_OpenML,83733,54,SS,Thelma,29.72643208503723,-0.009862643180618054
helena_OpenML,65196,27,SS,Thelma,12.689085245132446,0.0008193560905763265
Kuzushiji-MNIST_OpenML,70000,784,SS,Thelma,226.3656358718872,0.006480193854460263
CIFAR-100_OpenML,60000,3072,SS,Thelma,969.72420835495,0.001010949786203227
GTSRB-HOG01_OpenML,51839,1568,SS,Thelma,543.9628965854645,2.5295928713784733e-06
GTSRB-HOG02_OpenML,51839,1568,SS,Thelma,524.4310252666473,0.0006798378032066496
GTSRB-HOG03_OpenML,51839,2916,SS,Thelma,1039.2742347717285,0.0025754074590550297
GTSRB-HueHist_OpenML,51839,256,SS,Thelma,71.23116135597229,-0.000358341747599813
aloi_OpenML,108000,128,SS,Thelma,49.154436111450195,4.325711009765047e-05
SantanderCustomerSatisfaction_OpenML,200000,201,SS,Thelma,244.2214653491974,-0.00045024691118755066
medical_charges_nominal_OpenML,163065,11,SS,Thelma,15.3645179271698,3.7044853778462687e-07
Allstate_Claims_Severity_OpenML,188318,130,SS,Thelma,100.0464391708374,-4.1038255694735e-08
RelevantImagesDatasetTEST_OpenML,134731,30,SS,Thelma,20.81049394607544,0.05687067197827098
Medical-Appointment_OpenML,61214,18,SS,Thelma,6.197948694229126,-0.00037836077265392115
medical_charges_OpenML,188806,12,SS,Thelma,17.252951860427856,6.873612636055772e-10
MiniBooNE_OpenML,72998,50,SS,Thelma,23.210475206375122,3.801095645310526e-06
jannis_OpenML,57580,54,SS,Thelma,20.92051935195923,0.019730983890001372
road-safety_OpenML,111762,32,SS,Thelma,17.278347492218018,0.01765654437427013
Allstate_Claims_Severity_OpenML,188318,124,SS,Thelma,97.65722036361694,1.2153190438960456e-07
Allstate_Claims_Severity_OpenML,188318,124,SS,Thelma,97.40621066093445,1.2153190438960456e-07
MiniBooNE_OpenML,72998,50,SS,Thelma,22.48134422302246,3.801095645310526e-06
jannis_OpenML,57580,54,SS,Thelma,20.648924112319946,0.019730983890001372
