Filename,F1_WD,Time_WD,F1_SS,Time_SS,F1_WO,Time_WO
WDBC,0.100258398,1.132067204,0.116859404,0.661154985,0.061255743,0.797059774
KungChi3,0.207792208,361.3489738,0.027614723,2.663408041,0.030769231,113.8205602
PieChart2,0.046391753,432.6472824,0,2.173834085,0,100.1913111
CostaMadre1,0.172043011,390.290612,0.061157243,1.995908022,0.062992126,105.277524
KDDCup99_1ofn,0.014218164,599.0906539,0.009421001,6.002020836,0.017500109,215.352916
MeanWhile1,0.220779221,381.5440602,0.136450817,2.67444396,0.153846154,78.53812289
KnuggetChase3,0.270676692,359.9289441,0.110903021,1.442777157,0.028985507,33.61595607
MegaWatt1,0.220779221,383.370893,0.192770681,1.766163349,0.192857143,42.83239913
PieChart1,0.1352657,399.2952409,0,1.286072016,0.122137405,27.35491395
ALOI,0.05802022,293.36963,0.06152,1.04255,0.06015,18.67098975
CastMetal1,0.176470588,392.6771021,0.207501921,1.099374056,0.227642276,22.41488004
PieChart3,0.121842496,407.6340737,0,1.129789114,0.113207547,18.21795201
PizzaCutter1,0.130890052,1840.493612,0.023249969,1.069522858,0.082987552,17.63761401
PizzaCutter3,0.117103236,1465.452364,0,1.011105061,0.215053763,17.58367419
appendicitis,0.410958904,1722.8729,0.460291318,3.849203348,0.449438202,61.62947416
