Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Louise,Time_Thelma,ARI
letter_OpenML,20000,16,SS,M2,14.85336494,43.07475833,55.99718582,51.25896241,0.028486336
pendigits_OpenML,10992,16,SS,M2,1.577505589,4.417015649,5.7862905,5.212078466,0.056174344
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,227.9952741,615.5872401,794.1075397,720.2370709,0.174715028
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,145.1774011,421.0144632,547.3188021,501.0072112,0.007311609
BNG(kr-vs-kp)_OpenML,1000000,36,SS,M2,115.3928609,323.1000105,423.2610138,381.2580124,0.000511638
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,72.22992706,195.0208031,251.5768359,228.1743396,0.641217235
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,71.40092802,207.0626913,269.1814986,246.4046026,0.001291348
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,M2,70.83801293,198.3464362,259.8338314,234.0487947,0.058278235
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,M2,342.5130332,924.7851896,1192.972895,1081.998672,0.089576538
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,M2,258.7750781,750.4477265,975.5820444,893.0327945,6.88E-07
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,M2,165.7641189,464.1395329,608.0227881,547.6846488,0.289191706
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,M2,316.796737,855.3511899,1103.403035,1000.760892,2.80E-06
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,SS,M2,71.36329103,206.953544,269.0396072,246.2747173,0.010064222
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,SS,M2,98.85641408,276.7979594,362.6053268,326.6215921,0.0075931
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,84.96507287,229.4056967,295.9333488,268.4046652,0.062540522
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,SS,M2,204.7439768,593.7575327,771.8847925,706.5714639,0.012600772
