Filename,Shape_R,Shape_C,Size,ARI_WD,Time_WD
1028_SWD,1000,11,44048,0.137452633,0.535679579
1029_LEV,1000,5,20023,0.056596556,0.372838974
1030_ERA,1000,5,21290,0.019869239,108.9558382
GesturePhaseSegmentationProcessed,9873,33,3556412,0.030884588,16.96720767
Hill_Valley_with_noise,1212,101,839165,5.45E-06,284.7154753
Hill_Valley_without_noise,1212,101,1630738,-3.24E-05,277.0962422
JapaneseVowels,9961,15,1386971,-0.004398115,53.41431475
PieChart3,1077,38,195602,0,0.391385794
PizzaCutter3,1043,38,189137,-0.00643119,0.378516436
Speech,3686,401,13798013,-0.000525279,10619.78972
Titanic,2201,4,47015,0.02977726,0.910545111
USPS,9298,257,23719532,0,14400
abalone,4177,9,208293,0.16068258,2.783096075
ada,4147,49,837141,0,13540.38084
agaricus_lepiota,8145,23,376261,0,14400
allbp,3772,30,472880,-0.001988337,11532.62571
allhyper,3771,30,254035,-0.002945851,10880.23616
allhypo,3770,30,253967,-0.001963265,11546.54607
allrep,3772,30,472880,-0.002976169,10797.62936
analcatdata_supreme,4052,8,133837,0.055026998,8.28347826
ann_thyroid,7200,22,529365,-0.030648806,9.018666506
autoUniv-au1-1000,1000,21,82078,-0.004275145,0.353562593
autoUniv-au4-2500,2500,101,1180009,-0.003582503,1.213798046
autoUniv-au6-1000,1000,41,228983,-0.002443103,0.381364346
autoUniv-au7-1100,1100,13,64626,0,157.3301482
balloon,2001,2,13617,0.021437372,0.555019379
banana,5300,3,86118,0.029247137,4.342632294
bank-marketing,4521,17,329454,0,14400
bank32nh,8192,33,2551757,0,14400
bank8FM,8192,9,641779,0.000349827,219.9935412
banknote-authentication,1372,5,47813,0.012734424,5.093761683
car,1728,7,44978,0.001877775,0.661442995
car-evaluation,1728,22,148948,0.048966259,0.654234648
car_evaluation,1728,22,76372,0.045577054,0.68085885
cardiotocography,2126,36,349809,0,1.161554098
chess,3196,37,236655,-0.000877595,2.735101461
churn,5000,21,521569,-0.000666801,3.665347338
clean2,6598,169,6704443,0,14400
cmc,1473,10,57651,0.031771208,0.814502954
cnae-9,1080,857,3704259,0.015975533,1.089359283
coil2000,9822,86,1698133,0,14400
collins,1000,20,96830,0.0366939,0.971482754
contraceptive,1473,10,31100,0.0231277,0.743478775
cpu_act,8192,22,944682,0.000545015,10.12276387
cpu_small,8192,13,604442,0.001724575,10.01701188
credit-g,1000,21,87073,-1,-1
credit_g,1000,21,61061,-1,-1
delta_ailerons,7129,6,300723,0.000137105,8.029361248
delta_elevators,9517,7,348275,0,14400
dis,3772,30,472880,-1,-1
