Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
yeast_ml8,2417,117,2799572,0.097105902,2.60E-05,2.649971008,0.000182451,2.979476929,2.77E-05,2.068599224
yeast,1484,9,58603,0.050374044,0.030633082,1.496912956,0.120908468,0.956336975,0.029906958,1.402586222
wine_quality_white,4898,12,321103,0.002890857,0.002653443,17.43465281,-0.005167457,1.441064835,0.001795107,4.774426222
wine_quality_red,1599,12,100950,0.001605751,-0.001585026,1.699558973,-0.000348534,1.110100269,0.002153947,1.541918993
wine-quality-white,4898,12,296931,0.003781373,0.002769928,17.59754205,0.009627758,1.452935934,0.001795668,4.94772768
wine-quality-red,1599,12,94973,0.157162678,0.001399875,2.612260103,-0.006760173,1.147960901,0.001809205,1.588373899
wind,6574,15,491576,0.019551924,0.005036285,14.46136618,0.037932451,2.051059961,0.005082297,24.81266165
wilt,4839,6,247952,0.001657512,0.000447009,12.77532983,-0.047599524,1.230054855,0,4.163480043
waveform_40,5000,41,1058237,0.035408425,0.021682394,10.69381905,0.214049758,2.413290262,0.021682394,94.41189694
waveform_21,5000,22,545157,0.04138228,0.018872803,7.363076925,0.193721433,2.022582054,0.018872803,8.623912096
waveform-5000,5000,41,1058228,0.033971228,0.021830398,7.118448019,0.154497969,2.767164946,0.021830398,7.141737938
volcanoes-e5,1112,4,26293,0,-0.000689687,1.485831022,0,1.123912096,-0.000442651,1.380917072
volcanoes-e4,1252,4,29554,0.135084703,-0.00067623,2.34935689,-0.002586474,1.255657911,6.22E-05,1.270279884
volcanoes-e3,1277,4,29903,0.123518194,0.0012794,2.464316845,-0.005612311,1.372952223,-8.51E-05,2.509824991
volcanoes-e2,1080,4,25508,0.144519021,-0.000655078,1.436496973,-0.000877942,1.260516882,1.21E-05,1.326416969
volcanoes-e1,1183,4,27829,0.134204718,0.000281725,2.163630009,0.001882143,0.981214285,0.000119305,1.197905302
volcanoes-d4,8654,4,204406,0.009469946,5.11E-06,75.05673599,-3.31E-05,2.001732111,7.39E-06,43.48601294
volcanoes-d3,9285,4,219552,0.016594904,1.61E-05,87.64321303,-3.72E-05,1.823080301,3.13E-05,84.52080512
volcanoes-d2,9172,4,217183,0.009329772,1.34E-05,84.86930466,-5.45E-05,2.669911861,2.82E-08,86.23720288
volcanoes-d1,8753,4,206729,0.042285597,3.12E-05,76.51254821,-0.000447377,1.860927105,8.91E-06,55.69260311
