Filename,Shape_R,Shape_C,Size,Time,ARI_Mean,ARI_BestARI,Inertia_BestARI,ARI_BestInertia,Inertia_BestInertia
volcanoes-d4,8654,4,204406,1.8373757123947143,8.109756672681752e-05,0.0002336433654114179,23356406504940.344,0.0001307863068708447,23242651646553.793
abalone,4177,9,208293,1.8689706802368165,0.0922640883374081,0.11858651769304984,34081528.600034654,0.07620492537575191,30709436.51686179
mfeat-pixel,2000,241,1925579,3.0951123237609863,0.39173508104798344,0.4062916358978863,7533253320.188841,0.2844583674237831,7277529651.378731
PieChart3,1077,38,195602,0.9300980806350708,0.03018602519282788,0.03507993061747227,4.196910941284191e+17,0.022845167055861294,4.196817235797471e+17
yeast_ml8,2417,117,2799572,3.3622756958007813,-0.00508072399250769,-0.001806477290834084,26640014.03432416,-0.0069654912351524035,23732524.846791394
fri_c1_1000_50,1000,51,533205,1.4814369440078736,0.0005730624327131931,0.0062949412144956965,49454596.48528324,0.002960074210318214,49368675.32854733
collins,1000,20,96830,0.8761515140533447,0.006409689469248067,0.0065034362398693705,55189238.58335085,0.006072265697898942,55075282.35502092
mfeat-zernike,2000,48,1013281,2.0623062372207643,0.2609813741896558,0.26687068143739673,777474376861.9722,0.2597824219910816,770355505645.3772
credit_g,1000,21,61061,0.6634606838226318,0.002624327516074006,0.002624327516074006,8080825862555.686,0.002624327516074006,8080825862555.686
volcanoes-e1,1183,4,27829,1.0528308391571044,-0.0012129656334884237,0.0015252591655694743,368216100573.9427,0.0015252591655694743,368216100573.9427
volcanoes-e3,1277,4,29903,0.8436975955963135,0.014793921550993013,0.024016166412532743,317856214525.8529,0.024016166412532743,317856214525.8529
banana,5300,3,86118,1.91352379322052,0.07006762140354875,0.08679878118955775,101288752.27831674,0.08679878118955775,101288752.27831674
agaricus_lepiota,8145,23,376261,2.233737850189209,0.10692816120063287,0.1131783995394733,5641804146.220398,0.11310371993496757,5641520328.89521
mfeat-morphological,2000,7,94841,0.9253231287002563,0.06775719685776202,0.24536535988122565,102345948691369.52,0.04802295652182161,83326281999893.4
ringnorm,7400,21,1009524,5.934244108200073,0.05809480910948989,0.06367879630880416,2851126279654316.5,0.054704475328859664,2811460582020585.5
volcanoes-e2,1080,4,25508,0.9354493379592895,-0.0017902889024704806,0.0024647578504097593,294510384486.8417,-0.005705696048618846,237310653348.41238
led24,3200,25,313903,2.619064545631409,0.05263071133372428,0.06660906793452014,61330662.61523071,0.018987700763106716,59769681.34199594
volcanoes-d2,9172,4,217183,2.2252995014190673,0.000309116255974502,0.0004532460799415258,26095220741284.71,0.000284571507712125,26048458726587.355
fri_c0_1000_10,1000,11,108880,0.9339700698852539,0.003549740515627696,0.005541817885666083,10115247.872800715,0.005541817885666083,10115247.872800715
mfeat_pixel,2000,241,1927257,3.101427602767944,0.38691771966939237,0.39212559604596003,7569800858.416803,0.387207077846908,7560484022.896357
fri_c2_1000_25,1000,26,268366,1.1079867124557494,-0.0041481783158146095,-0.0033026961342555636,24747640.49890343,-0.004553788910020338,24682348.07233136
thyroid-ann,3772,22,389672,2.6688560247421265,-0.0010637270280640806,-0.0008061403924277623,15724348.154112106,-0.0008061403924277623,15724348.154112106
phoneme,5404,6,310250,1.608454418182373,0.04630022961558093,0.053606177897749824,254301141.38603488,0.04793291505978359,253585808.4812218
socmob,1156,6,26855,0.5713353633880616,0.05548332231037671,0.05548332231037671,4262245115.9760766,0.05548332231037671,4262245115.9760766
scene,2407,300,7215387,5.12623929977417,-0.06261827340740082,-0.03852967548648563,71925169.6132133,-0.0998808224335949,68659811.49949777
jungle_chess_2pcs_endgame_rat_rat,3660,47,688987,2.3456365346908568,0.02605105456387353,0.028478752350848097,2536931679.945197,0.02507520598199388,2530598551.148381
