Filename,Algorithm
20_newsgroups.drift_OpenML, brute
2dplanes_OpenML, kd_tree
BNG(2dplanes)_OpenML, kd_tree
BNG(Ailerons)_OpenML, brute
BNG(Australian)_OpenML, kd_tree
BNG(JapaneseVowels)_OpenML, kd_tree
BNG(SPECT)_OpenML, brute
BNG(SPECTF)_OpenML, brute
BNG(adult)_OpenML, kd_tree
BNG(anneal)_OpenML, brute
BNG(anneal.ORIG)_OpenML, brute
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML, brute
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML, brute
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML, brute
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML, brute
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML, brute
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML, brute
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML, brute
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML, brute
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML, brute
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(anneal_COMMA_10000_COMMA_1)_OpenML, brute
BNG(anneal_COMMA_10000_COMMA_10)_OpenML, brute
BNG(anneal_COMMA_10000_COMMA_5)_OpenML, brute
BNG(anneal_COMMA_1000_COMMA_1)_OpenML, brute
BNG(anneal_COMMA_1000_COMMA_10)_OpenML, brute
BNG(anneal_COMMA_1000_COMMA_5)_OpenML, brute
BNG(anneal_COMMA_5000_COMMA_1)_OpenML, brute
BNG(anneal_COMMA_5000_COMMA_10)_OpenML, brute
BNG(anneal_COMMA_5000_COMMA_5)_OpenML, brute
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(audiology_COMMA_1000_COMMA_1)_OpenML, brute
BNG(audiology_COMMA_1000_COMMA_10)_OpenML, brute
BNG(audiology_COMMA_1000_COMMA_5)_OpenML, brute
BNG(audiology_COMMA_5000_COMMA_1)_OpenML, brute
BNG(audiology_COMMA_5000_COMMA_10)_OpenML, brute
BNG(audiology_COMMA_5000_COMMA_5)_OpenML, brute
BNG(autoHorse)_OpenML, brute
BNG(autoPrice)_OpenML, kd_tree
BNG(auto_price)_OpenML, kd_tree
BNG(autos)_OpenML, brute
BNG(autos_COMMA_10000_COMMA_1)_OpenML, brute
BNG(autos_COMMA_10000_COMMA_10)_OpenML, brute
BNG(autos_COMMA_10000_COMMA_5)_OpenML, brute
BNG(autos_COMMA_1000_COMMA_1)_OpenML, brute
BNG(autos_COMMA_1000_COMMA_10)_OpenML, brute
BNG(autos_COMMA_1000_COMMA_5)_OpenML, brute
BNG(autos_COMMA_5000_COMMA_1)_OpenML, brute
BNG(autos_COMMA_5000_COMMA_10)_OpenML, brute
BNG(autos_COMMA_5000_COMMA_5)_OpenML, brute
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(bridges_version1)_OpenML, kd_tree
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree
BNG(cholesterol)_OpenML, kd_tree
BNG(cleveland)_OpenML, kd_tree
BNG(colic)_OpenML, brute
BNG(colic.ORIG)_OpenML, brute
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(cpu_act)_OpenML, brute
BNG(cpu_small)_OpenML, kd_tree
BNG(credit-a)_OpenML, kd_tree
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree
BNG(credit-g)_OpenML, brute
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(cylinder-bands)_OpenML, brute
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(dermatology)_OpenML, brute
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(elevators)_OpenML, brute
BNG(eucalyptus)_OpenML, brute
BNG(heart-c)_OpenML, kd_tree
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree
BNG(heart-statlog)_OpenML, kd_tree
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML, kd_tree
BNG(hepatitis)_OpenML, brute
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(ionosphere)_OpenML, brute
BNG(kr-vs-kp)_OpenML, brute
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML, brute
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML, brute
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML, brute
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML, brute
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML, brute
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML, brute
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML, brute
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML, brute
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML, brute
BNG(labor)_OpenML, brute
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML, brute
BNG(letter)_OpenML, brute
BNG(letter_COMMA_10000_COMMA_1)_OpenML, brute
BNG(letter_COMMA_10000_COMMA_10)_OpenML, brute
BNG(letter_COMMA_10000_COMMA_5)_OpenML, brute
BNG(letter_COMMA_1000_COMMA_1)_OpenML, brute
BNG(letter_COMMA_1000_COMMA_10)_OpenML, brute
