Filename,Shape_R,Shape_C,Size,ARI_WD,Time_WD
1028_SWD,1000,11,44048,0.00736835438765314,0.11530399322509766
1029_LEV,1000,5,20023,0.01775755767902778,0.022240877151489258
1030_ERA,1000,5,21290,0.0185960463167393,0.025570154190063477
294_satellite_image,6435,37,1239015,0.0,0.3362569808959961
GesturePhaseSegmentationProcessed,9873,33,3556412,0.0,1.612776517868042
Hill_Valley_with_noise,1212,101,839165,0.0,0.16828584671020508
Hill_Valley_without_noise,1212,101,1630738,0.0,0.18979144096374512
JapaneseVowels,9961,15,1386971,0.0,0.30625247955322266
PieChart3,1077,38,195602,0.0,0.06341838836669922
PizzaCutter3,1043,38,189137,0.0,0.06157994270324707
Satellite,5100,37,971912,0.0,0.2705421447753906
Speech,3686,401,13798013,0.0,2.35615873336792
Titanic,2201,4,47015,0.09157153850544038,0.07331728935241699
USPS,9298,257,23719532,-0.0007647193444644038,6.12823486328125
abalone,4177,9,208293,0.1325852143520962,0.2365279197692871
ada,4147,49,837141,0.0,0.5103774070739746
agaricus_lepiota,8145,23,376261,0.0,0.44124794006347656
allbp,3772,30,472880,-0.0029468957561867943,0.15687942504882812
allhyper,3771,30,254035,-0.0029427294778796177,0.1683821678161621
allhypo,3770,30,253967,-0.0029264263172896683,0.17491507530212402
allrep,3772,30,472880,-0.0029729988412650035,0.1587231159210205
analcatdata_supreme,4052,8,133837,0.00490289559337034,0.09386801719665527
ann_thyroid,7200,22,529365,-0.011289598092426469,1.369267225265503
autoUniv-au1-1000,1000,21,82078,0.0,0.05310225486755371
autoUniv-au4-2500,2500,101,1180009,0.0,0.30251288414001465
autoUniv-au6-1000,1000,41,228983,0.0,0.0643610954284668
autoUniv-au7-1100,1100,13,64626,0.0,0.03491044044494629
balloon,2001,2,13617,0.0,0.08258819580078125
banana,5300,3,86118,-0.0002113077245183726,0.13188624382019043
bank-marketing,4521,17,329454,0.0,0.13538837432861328
bank32nh,8192,33,2551757,0.0,0.5510220527648926
bank8FM,8192,9,641779,-0.03484522253278903,0.22284650802612305
banknote-authentication,1372,5,47813,0.0120682358539236,0.030347585678100586
car,1728,7,44978,0.0,0.03754830360412598
car-evaluation,1728,22,148948,0.0,0.08729887008666992
car_evaluation,1728,22,76372,0.0,0.204636812210083
cardiotocography,2126,36,349809,0.0,0.11629867553710938
chess,3196,37,236655,0.0,0.5097720623016357
churn,5000,21,521569,0.0,0.15633678436279297
clean2,6598,169,6704443,0.0,1.3046798706054688
cmc,1473,10,57651,0.0,0.03818798065185547
cnae-9,1080,857,3704259,0.0,1.1792197227478027
coil2000,9822,86,1698133,-0.007848100048694464,1.3744595050811768
collins,1000,20,96830,0.0,0.05101203918457031
contraceptive,1473,10,31100,0.0,0.03872251510620117
cpu_act,8192,22,944682,0.0,0.26749658584594727
cpu_small,8192,13,604442,0.0,0.18366551399230957
credit-g,1000,21,87073,0.0,0.041532278060913086
credit_g,1000,21,61061,0.0,0.04400014877319336
delta_ailerons,7129,6,300723,0.0,0.6925797462463379
delta_elevators,9517,7,348275,0.0016390187781724391,0.2361011505126953
dis,3772,30,472880,-0.0028430565401204085,0.16490697860717773
dna,3186,181,2301089,0.0014900847566799568,1.5165753364562988
fabert,8237,801,26789342,-0.0008569083648549087,24.81391739845276
first-order-theorem-proving,6118,52,3000537,-0.001863510006821804,1.3169214725494385
flare,1066,11,27874,-0.02700017755615893,0.038077592849731445
fri_c0_1000_10,1000,11,108880,0.0,0.03741192817687988
fri_c0_1000_25,1000,26,268252,0.0,0.05919504165649414
fri_c0_1000_5,1000,6,54984,0.0,0.0333709716796875
fri_c0_1000_50,1000,51,532974,0.0,0.10238957405090332
fri_c1_1000_10,1000,11,108229,0.0,0.04045438766479492
fri_c1_1000_25,1000,26,267691,0.0,0.0639653205871582
fri_c1_1000_5,1000,6,55111,0.0017995226864193576,0.029865026473999023
fri_c1_1000_50,1000,51,533205,0.0,0.09888195991516113
fri_c2_1000_10,1000,11,108815,0.0,0.16904807090759277
fri_c2_1000_25,1000,26,268366,0.0,0.0650033950805664
fri_c2_1000_5,1000,6,55181,0.004636686082434571,0.030415773391723633
fri_c2_1000_50,1000,51,535139,0.0,0.10345768928527832
