Filename,Shape_R,Shape_C,Size,ARI_WD,Time_WD
1028_SWD,1000,11,44048,0.108086237,0.048353434
1029_LEV,1000,5,20023,0.116664146,0.036658287
1030_ERA,1000,5,21290,0.040049413,0.033644438
294_satellite_image,6435,37,1239015,0.46569591,1.815829754
GesturePhaseSegmentationProcessed,9873,33,3556412,0.036044984,4.879359722
Hill_Valley_with_noise,1212,101,839165,0.000227628,0.190431595
Hill_Valley_without_noise,1212,101,1630738,-6.04E-05,0.217703819
JapaneseVowels,9961,15,1386971,0.019987963,3.419887066
PieChart3,1077,38,195602,-0.001585517,0.088656187
PizzaCutter3,1043,38,189137,-0.001643268,0.081936836
Satellite,5100,37,971912,0.00605002,1.161281586
Speech,3686,401,13798013,-0.007532908,3.039562702
Titanic,2201,4,47015,0.274442565,0.106054068
USPS,9298,257,23719532,0.584044811,10.39031053
abalone,4177,9,208293,0.132441176,0.545292854
ada,4147,49,837141,0.1793495,0.804825783
agaricus_lepiota,8145,23,376261,0.170489791,2.136020899
allbp,3772,30,472880,-0.019854506,0.557323694
allhyper,3771,30,254035,-0.013026785,0.566920996
allhypo,3770,30,253967,0.023965075,0.563973427
allrep,3772,30,472880,-0.008885725,0.554370165
analcatdata_supreme,4052,8,133837,0.352484099,0.413394213
ann_thyroid,7200,22,529365,-0.035562345,2.024634838
autoUniv-au1-1000,1000,21,82078,0.028539441,0.063449144
autoUniv-au4-2500,2500,101,1180009,-0.004829246,0.49339056
autoUniv-au6-1000,1000,41,228983,0.002561059,0.083150387
autoUniv-au7-1100,1100,13,64626,0.008479941,0.059689999
balloon,2001,2,13617,0.158211154,0.089947939
banana,5300,3,86118,0.000905591,0.75573802
bank-marketing,4521,17,329454,-0.011425263,0.660810709
bank32nh,8192,33,2551757,0.040249864,2.962357283
bank8FM,8192,9,641779,0.118529444,2.124299765
banknote-authentication,1372,5,47813,0.004380624,0.067986488
car,1728,7,44978,0.004495444,0.098755598
car-evaluation,1728,22,148948,0.081295307,0.118615627
car_evaluation,1728,22,76372,0.060860709,0.124267817
cardiotocography,2126,36,349809,0.013150544,0.217190027
chess,3196,37,236655,0.023334841,0.420637608
churn,5000,21,521569,0.000791181,0.90936017
clean2,6598,169,6704443,-0.036412857,3.637172699
cmc,1473,10,57651,0.002255898,0.082359076
