CMDLINE /Users/muyeedahmed/opt/anaconda3/envs/sklearn-env/bin/python OCSVM_Sub.py
MEM 0.808594 1677975125.0073
MEM 26.273438 1677975125.1127
MEM 40.910156 1677975125.2179
MEM 64.312500 1677975125.3230
MEM 84.929688 1677975125.4281
MEM 96.136719 1677975125.5333
MEM 111.078125 1677975125.6385
MEM 120.445312 1677975125.7435
MEM 151.871094 1677975125.8487
MEM 168.531250 1677975125.9538
MEM 168.773438 1677975126.0589
MEM 169.000000 1677975126.1639
MEM 169.933594 1677975126.2690
MEM 170.300781 1677975126.3740
MEM 170.800781 1677975126.4791
MEM 170.968750 1677975126.5841
MEM 171.132812 1677975126.6891
MEM 171.289062 1677975126.7942
MEM 171.445312 1677975126.8992
MEM 179.246094 1677975127.0042
MEM 179.375000 1677975127.1093
MEM 181.054688 1677975127.2143
MEM 181.082031 1677975127.3194
MEM 185.199219 1677975127.4244
MEM 191.828125 1677975127.5295
MEM 198.476562 1677975127.6345
MEM 205.160156 1677975127.7396
MEM 211.796875 1677975127.8446
MEM 218.457031 1677975127.9497
MEM 225.125000 1677975128.0547
MEM 231.761719 1677975128.1597
MEM 238.406250 1677975128.2648
MEM 245.101562 1677975128.3699
MEM 251.738281 1677975128.4749
MEM 258.398438 1677975128.5799
MEM 265.074219 1677975128.6850
MEM 271.714844 1677975128.7900
MEM 278.363281 1677975128.8951
MEM 285.035156 1677975129.0001
MEM 291.683594 1677975129.1051
MEM 298.335938 1677975129.2102
MEM 305.019531 1677975129.3152
MEM 311.664062 1677975129.4203
MEM 318.320312 1677975129.5253
MEM 324.937500 1677975129.6306
MEM 331.511719 1677975129.7356
MEM 338.105469 1677975129.8407
MEM 344.710938 1677975129.9458
MEM 351.296875 1677975130.0508
MEM 357.917969 1677975130.1559
MEM 364.578125 1677975130.2609
MEM 370.949219 1677975130.3661
MEM 377.246094 1677975130.4711
MEM 383.519531 1677975130.5762
MEM 389.812500 1677975130.6812
MEM 396.125000 1677975130.7863
MEM 402.425781 1677975130.8913
MEM 406.394531 1677975130.9964
MEM 406.394531 1677975131.1016
MEM 406.414062 1677975131.2068
MEM 412.593750 1677975131.3119
MEM 418.726562 1677975131.4169
MEM 424.898438 1677975131.5220
MEM 431.035156 1677975131.6270
MEM 437.207031 1677975131.7320
MEM 443.425781 1677975131.8371
MEM 449.640625 1677975131.9421
MEM 455.812500 1677975132.0472
MEM 459.718750 1677975132.1522
MEM 459.718750 1677975132.2573
MEM 459.828125 1677975132.3625
MEM 460.734375 1677975132.4676
MEM 461.046875 1677975132.5728
MEM 462.101562 1677975132.6780
MEM 463.078125 1677975132.7831
MEM 464.085938 1677975132.8883
MEM 427.792969 1677975132.9936
MEM 311.496094 1677975133.0987
MEM 311.496094 1677975133.2038
MEM 311.496094 1677975133.3089
MEM 311.496094 1677975133.4139
MEM 311.496094 1677975133.5190
MEM 311.496094 1677975133.6241
MEM 311.496094 1677975133.7291
MEM 311.496094 1677975133.8341
MEM 311.496094 1677975133.9392
MEM 311.496094 1677975134.0442
MEM 311.496094 1677975134.1493
MEM 311.496094 1677975134.2543
MEM 311.496094 1677975134.3594
MEM 311.496094 1677975134.4644
MEM 311.496094 1677975134.5695
MEM 311.496094 1677975134.6745
MEM 311.496094 1677975134.7796
MEM 311.496094 1677975134.8846
MEM 311.496094 1677975134.9897
MEM 311.496094 1677975135.0947
MEM 311.496094 1677975135.1997
MEM 311.496094 1677975135.3048
MEM 311.496094 1677975135.4098
MEM 311.496094 1677975135.5149
MEM 311.496094 1677975135.6200
MEM 311.496094 1677975135.7251
MEM 311.496094 1677975135.8302
MEM 311.496094 1677975135.9352
MEM 311.496094 1677975136.0403
MEM 311.496094 1677975136.1453
MEM 311.496094 1677975136.2504
MEM 311.496094 1677975136.3554
MEM 311.496094 1677975136.4605
MEM 311.496094 1677975136.5656
MEM 311.496094 1677975136.6708
MEM 311.496094 1677975136.7758
MEM 311.496094 1677975136.8809
MEM 311.496094 1677975136.9859
MEM 311.496094 1677975137.0909
MEM 311.496094 1677975137.1960
MEM 311.496094 1677975137.3010
MEM 311.496094 1677975137.4060
MEM 311.496094 1677975137.5111
MEM 311.496094 1677975137.6161
MEM 311.496094 1677975137.7212
MEM 311.496094 1677975137.8262
MEM 311.496094 1677975137.9313
MEM 311.496094 1677975138.0364
MEM 311.496094 1677975138.1414
MEM 311.496094 1677975138.2464
MEM 311.496094 1677975138.3515
MEM 311.496094 1677975138.4565
MEM 311.496094 1677975138.5615
MEM 311.496094 1677975138.6666
MEM 311.496094 1677975138.7717
MEM 311.496094 1677975138.8767
MEM 311.496094 1677975138.9818
MEM 311.496094 1677975139.0868
